Token;Label_Maj;Quaero_Maj
PTITB;PER;
JLANN;PER;
"
";;
IL;;
DRV0IR;;
.;;
"
";;
PHEIIIkI;;
PAIII;;
.;;
"
";;
EMANCE;;
DE;;
JEANME;PER;
;;
"
";;
a;PER;
mbre;PER;
Nannette;PER;
.;;
"
";;
Il;;
y;;
avait;;
dans;;
un;;
bousrg;;
du;;
dpartenent;LOC;loc.adm.reg
du;;
"
";;
tCher;LOC;loc.adm.reg
une;;
bonne;;
veuve;;
ag6e;;
de;;
soixante;;
ans;;
;;
qu';;
on;;
"
";;
appelait;;
la;PER;
mbre;PER;
Nunnette;PER;
.;;
Llle;;
poss6dait;;
une;;
petite;;
"
";;
maison;;
aves;;
une;;
petite;;
chneire;;
et;;
un;;
jardin;;
"
";;
plante;;
de;;
pommiers;;
;;
de;;
pruniers;;
et;;
de;;
groseilliers;;
.;;
"
";;
Du;;
cbt6;;
du;;
chemin;;
;;
un;;
gros;;
noyer;;
;;
qui;;
avait;;
plus;;
"
";;
de;;
cent;;
ans;;
;;
ombruageait;;
le;;
davant;;
de;;
sa;;
porte;;
.;;
"
";;
Quand;;
les;;
fleurs;;
de;;
cet;;
arbre;;
ne;;
gelaient;;
pas;;
au;;
"
";;
printemps;;
;;
il;;
donnait;;
assez;;
de;;
noix;;
a;;
la;PER;
mere;PER;
];PER;
"
";PER;
Nannette;PER;
pour;;
qu';;
elle;;
et;;
sa;;
provision;;
d';;
huile;;
l';;
an-;;
];;
"
";;
nee;;
suivante;;
.;;
Sil;;
se;;
faisait;;
deux;;
bonnes;;
r6eoltes;;
"
";;
de;;
suite;;
;;
elle;;
vendait;;
une;;
partie;;
des;;
noix;;
;;
ce;;
qui;;
"
";;
lui;;
donnait;;
un;;
petit;;
profit;;
.;;
Quoiquell;;
poss6dht;;
"
";;
une;;
vigne;;
et;;
un;;
bssu;;
morceau;;
de;;
terre;;
;;
elle;;
n';;
a-;;
"
";;
vait;;
qe;;
bien;;
juste;;
ee;;
qu';;
il;;
lui;;
fllait;;
pour;;
vire;;
.;;
PREMIIRR;;
PAHR;;
.;;
"
";;
lla;;
samait;;
du;;
fromant;;
daux;;
anneas;;
de;;
suite;;
dans;;
"
";;
eon;;
ehamp;;
;;
gqui;;
;;
la;;
troisime;;
;;
rapportait;;
alterna-;;
"
";;
tivement;;
du;;
trbfle;;
et;;
des;;
pmmes;;
do;;
tenre;;
.;;
Klle;;
"
";;
resoltait;;
asse;;
de;;
hl6;;
pour;;
so;;
nourrir;;
pondant;;
-0;;
les;;
"
";;
trois;;
ans;;
.;;
ais;;
si;;
lanne;PER;
atait;;
mauvaise;;
;;
la;PER;
mbre;PER;
"
";PER;
Nannetts;PER;
venduit;;
la;;
pibce;;
de;;
toile;;
quelle;;
avait;;
fait;;
"
";;
faire;;
aveoe;;
le;;
ohanvre;;
amass;;
et;;
fll6;;
pandant;;
quuatra;;
"
";;
uns;;
.;;
Largent;;
quella;;
en;;
retirait;;
lui;;
servait;;
a;;
com-;;
"
";;
plter;;
sa;;
provision;;
de;;
bl6;;
;;
et;;
;;
mlgr6;;
tout;;
cela;;
;;
"
";;
elle;;
ptiassit;;
bien;;
un;;
peu;;
l';;
hiver;;
.;;
"
";;
Pour;;
que;;
In;;
terre;;
rapporte;;
chaque;;
annee;;
sans;;
"
";;
se;;
reposer;;
;;
il;;
faut;;
baaucoup;;
de;;
fumier;;
;;
la;PER;
mre;PER;
"
";PER;
Nannette;PER;
;;
qui;;
le;;
savait;;
bien;;
;;
avait;;
une;;
vache;;
et;;
"
";;
une;;
ohbvre;;
quelle;;
menait;;
paltre;;
sur;;
les;;
commu-;;
"
";;
naux;;
et;;
le;;
long;;
des;;
haies;;
.;;
Avee;;
leur;;
lait;;
elle;;
faisait;;
"
";;
du;;
beurre;;
et;;
des;;
fromages;;
;;
quelle;;
vendait;;
h;;
la;;
"
";;
ville;;
voisine;;
.;;
Quand;;
ses;;
b8tes;;
etaient;;
rentres;;
"
";;
l6table;;
;;
elle;;
allait;;
chereher;;
pour;;
elles;;
de;;
lherhe;;
"
";;
dans;;
les;LOC;loc.phys.geo
ehamps;LOC;loc.phys.geo
et;;
au;;
bord;;
des;;
ruisseaux;LOC;loc.phys.hydro
.;;
Commae;;
"
";;
elle;;
les;;
tenait;;
bien;;
proprement;;
;;
elles;;
etaient;;
en;;
bon;;
"
";;
6tat;;
.;;
Lhiver;;
;;
elles;;
mangeaient;;
ou;;
du;;
trfle;;
qui;;
"
";;
avait;;
6te;;
rentr6;;
bien;;
seo;;
;;
ou;;
du;;
regain;;
recolt6;;
aprs;;
"
";;
li;;
fuche;;
des;;
grands;;
foins;;
.;;
"
";;
lLa;PER;
mbre;PER;
Nannette;PER;
vendait;;
son;;
vin;;
et;;
ne;;
buvait;;
"
";;
