Token;Label_Maj;Quaero_Maj
PETITE;PER;
JEANNE;PER;
"

";;
LE;;
DEVOIR;;
.;;
"

";;
_;;
—;;
"

";;
PREMIÈRE;;
PARTIE;;
.;;
"
";;
ENFANCE;;
DE;;
JEANNE;PER;
.;;
"

 

";;
La;PER;
mère;PER;
Nannette;PER;
.;;
"

";;
Il;;
y;;
avait;;
dans;;
un;;
bourg;;
du;;
département;LOC;loc.adm.reg
du;LOC;loc.adm.reg
"
";;
Cher;LOC;loc.adm.reg
une;;
bonne;;
veuve;;
âgée;;
de;;
soixante;;
ans;;
;;
qu';;
on;;
"
";;
appelait;;
la;PER;
mère;PER;
Nannette;PER;
.;;
Elle;;
possédait;;
une;;
petite;;
"
";;
maison;;
avec;;
une;;
petite;;
chènevière;;
et;;
un;;
jardin;;
"
";;
planté;;
de;;
pommiers;;
;;
de;;
pruniers;;
et;;
de;;
groseilliers;;
.;;
"
";;
Du;;
côté;;
du;;
chemin;;
;;
un;;
gros;;
noyer;;
;;
qui;;
avait;;
plus;;
"
";;
de;;
cent;;
ans;;
;;
ombrageait;;
le;;
devant;;
de;;
sa;;
porte;;
.;;
"
";;
Quand;;
les;;
fleurs;;
de;;
cet;;
arbre;;
ne;;
gelaient;;
pas;;
au;;
"
";;
printemps;;
;;
il;;
donnait;;
assez;;
de;;
noix;;
à;;
la;PER;
mère;PER;
"
";PER;
Nannette;PER;
pour;;
qu';;
elle;;
eût;;
sa;;
provision;;
d';;
huile;;
l';;
an-;;
"
";;
née;;
suivante;;
.;;
S';;
il;;
se;;
faisait;;
deux;;
bonnes;;
récoltes;;
"
";;
de;;
suite;;
;;
elle;;
vendait;;
une;;
partie;;
des;;
noix;;
;;
ce;;
qui;;
"
";;
lui;;
donnait;;
un;;
petit;;
profit;;
.;;
Quoiqu';;
elle;;
possédât;;
"
";;
une;;
vigne;;
et;;
un;;
beau;;
morceau;;
de;;
terre;;
;;
elle;;
n';;
a-;;
"
";;
vait;;
que;;
bien;;
juste;;
ce;;
qu';;
il;;
lui;;
fallait;;
pour;;
vivre;;
.;;
"

 

";;
8;;
PREMIÈRE;;
PARTIR;;
;;
"

";;
Elle;;
semait;;
du;;
froment;;
deux;;
années;;
de;;
suite;;
dans;;
"
";;
son;;
champ;;
;;
qui;;
;;
la;;
troisième;;
;;
rapportait;;
alterna-;;
"
";;
tivement;;
du;;
trèfle;;
et;;
des;;
pommes;;
de;;
terre;;
.;;
Elle;;
"
";;
récoltait;;
assez;;
de;;
blé;;
pour;;
se;;
nourrir;;
pendant.les;;
"
";;
trois;;
ans;;
.;;
Mais;;
si;;
l';;
année;;
était;;
mauvaise;;
;;
la;PER;
mère;PER;
"
";PER;
Nannette;PER;
vendait;;
la;;
pièce;;
de;;
toile;;
qu';;
elle;;
avait;;
fait;;
"
";;
faire;;
avec;;
le;;
chanvre;;
amassé;;
et;;
filé;;
pendant;;
quatre;;
"
";;
ans;;
.;;
L';;
argent;;
qu';;
elle;;
en;;
retirait;;
lui;;
servait;;
à;;
com-;;
"
";;
pléter;;
sa;;
provision;;
de;;
blé;;
";";;
et;;
;;
malgré;;
tout;;
cela;;
;;
"
";;
elle;;
pâtissait;;
bien;;
un;;
peu;;
l';;
hiver;;
.;;
"

";;
Pour;;
que;;
la;;
terre;;
rapporte;;
chaque;;
année;;
sans;;
"
";;
se;;
reposer;;
;;
il;;
faut;;
beaucoup;;
de;;
