Token;Label_Maj;Quaero_Maj
LA;;
FABRIOUE;;
"

";;
EE;;
"
";;
Je;;
suis;;
ne;;
le;;
rg;;
mai;;
8;;
...;;
;;
dans;;
une;;
ville;;
du;;
Languedoc;LOC;loc.adm.reg
;;
oi;;
l';;
on;;
"
";;
trouve;;
;;
comme;;
dans;;
toutes;;
les;;
villes;;
du;;
Midi;LOC;loc.adm.reg
;;
beaucoup;;
de;;
soleil;;
;;
pas;;
"
";;
mal;;
de;;
poussiere;;
;;
un;;
couvent;LOC;loc.fac
de;LOC;loc.fac
Carmelites;LOC;loc.fac
et;;
deux;;
ou;;
trois;;
monuments;;
"
";;
romains;;
.;;
"
";;
Mon;;
pere;;
;;
M.;PER;
Eyssette;PER;
;;
qui;;
faisait;;
a;;
cette;;
epoque;;
le;;
commerce;;
des;;
"
";;
foulards;;
;;
avait;;
;;
aux;;
portes;;
de;;
la;;
ville;;
;;
une;;
grande;;
fabrique;;
dans;;
un;;
pan;;
"
";;
de;;
laquelle;;
il;;
s';;
etait;;
taille;;
une;;
habitation;;
commode;;
;;
tout;;
ombragee;;
de;;
"
";;
platanes;;
et;;
separee;;
des;;
ateliers;;
par;;
un;;
vaste;;
jardin;;
.;;
C';;
est;;
la;;
que;;
je;;
suis;;
"
";;
venu;;
au;;
monde;;
et;;
que;;
j';;
ai;;
passe;;
les;;
premieres;;
;;
les;;
seules;;
bonnes;;
annees;;
"
";;
de;;
ma;;
vie;;
.;;
Aussi;;
ma;;
memoire;;
reconnaissante;;
a;;
-t;;
-elle;;
garde;;
du;;
jardin;;
"
";;
de;;
la;;
fabrique;;
et;;
des;;
platanes;;
un;;
imperissable;;
souvenir;;
;;
et;;
lorsqu';;
a;;
"
";;
la;;
ruine;;
de;;
mes;;
parents;;
il;;
m';;
a;;
fallu;;
me;;
separer;;
de;;
ces;;
choses;;
;;
je;;
les;;
ai;;
"
";;
positivement;;
regrettees;;
comme;;
des;;
etres;;
.;;
"
";;
Source;;
gallica.bnf.fr;;
 ;;
Bibliotheque;MISC;
nationale;MISC;
de;;
FranceLE;;
PETIT;;
CHOSE;;
"
";;
Je;;
dois;;
dire;;
;;
pour;;
commencer;;
;;
que;;
ma;;
naissance;;
ne;;
porta;;
pas;;
"
";;
bonheur;;
a;;
la;;
maison;LOC;loc.adm.town
Eyssette;LOC;loc.adm.town
.;;
La;PER;
vieille;PER;
Annou;PER;
;;
notre;;
cuisiniere;;
;;
m';;
a;;
"
";;
souvent;;
conte;;
depuis;;
comme;;
quoi;;
mon;;
pere;;
;;
en;;
voyage;;
a;;
ce;;
moment;;
;;
"
";;
recut;;
en;;
meme;;
temps;;
la;;
nouvelle;;
de;;
mon;;
apparition;;
dans;;
le;;
monde;;
et;;
"
";;
celle;;
de;;
la;;
disparition;;
d';;
un;;
de;;
ses;;
clients;;
de;;
Marseille;LOC;loc.adm.town
;;
qui;;
lui;;
emportait;;
"
";;
plus;;
de;;
quarante;;
mille;;
francs;;
";";;
si;;
bien;;
que;;
M.;PER;
Eyssette;PER;
;;
heureux;;
et;;
"
";;
desole;;
du;;
meme;;
coup;;
;;
se;;
demandait;;
;;
comme;;
l';;
autre;;
;;
s';;
il;;
devait;;
pleurer;;
"
";;
pour;;
la;;
disparition;;
du;;
client;;
de;;
Marseille;LOC;loc.adm.town
;;
ou;;
rire;;
pour;;
l';;
heureuse;;
"
";;
arrivee;;
du;;
petit;;
Daniel;PER;
...;;
Il;;
fallait;;
pleurer;;
;;
mon;;
bon;;
monsieur;PER;
Eyssette;PER;
;;
"
";;
il;;
fallait;;
pleurer;;
doublement;;
.;;
"
";;
C';;
est;;
une;;
verite;;
;;
je;;
fus;;
la;;
mauvaise;;
etoile;;
de;;
mes;;
parents;;
.;;
Du;;
jour;;
"
";;
de;;
ma;;
naissance;;
;;
d';;
incroyables;;
malheurs;;
les;;
assaillirent;;
par;;
vingt;;
"
";;
endroits;;
.;;
D';;
abord;;
nous;;
emes;;
donc;;
le;;
client;;
de;;
Marseille;LOC;loc.adm.town
;;
puis;;
deux;;
"
";;
fois;;
le;;
feu;;
dans;;
la;;
meme;;
annee;;
;;
puis;;
la;;
greve;;
des;;
ourdisseuses;;
;;
puis;;
"
";;
notre;;
brouille;;
avec;;
l';PER;
oncle;PER;
Baptiste;PER;
;;
puis;;
un;;
proces;;
tres;;
coteux;;
avec;;
"
";;
nos;;
marchands;;
de;;
couleurs;;
;;
puis;;
;;
enfin;;
;;
la;MISC;
Revolution;MISC;
de;MISC;
r8;MISC;
...;;
;;
qui;;
"
";;
nous;;
donna;;
le;;
coup;;
de;;
grace;;
.;;
"
";;
A;;
partir;;
de;;
ce;;
moment;;
;;
la;;
fabrique;;
ne;;
battit;;
plus;;
que;;
d';;
une;;
aile;;
";";;
"
";;
petit;;
a;;
petit;;
;;
les;;
ateliers;;
se;;
viderent;;
:;;
chaque;;
semaine;;
un;;
metier;;
a;;
bas;;
;;
"
";;
chaque;;
mois;;
une;;
table;;
d';;
impression;;
de;;
moins;;
.;;
C';;
etait;;
pitie;;
de;;
voir;;
"
";;
la;;
vie;;
s';;
en;;
aller;;
de;;
notre;;
maison;;
comme;;
d';;
un;;
corps;;
malade;;
;;
lentement;;
;;
"
";;
tous;;
les;;
jours;;
un;;
peu;;
.;;
Une;;
fois;;
;;
on;;
n';;
entra;;
plus;;
dans;;
les;;
salles;;
du;;
"
";;
second;;
.;;
Une;;
autre;;
fois;;
;;
la;;
cour;;
du;;
fond;;
fut;;
condamnee;;
.;;
Cela;;
dura;;
"
";;
ainsi;;
pendant;;
deux;;
ans;;
";";;
pendant;;
deux;;
ans;;
;;
la;;
fabrique;;
agonisa;;
.;;
Enfin;;
;;
"
";;
un;;
jour;;
;;
les;;
ouvriers;;
ne;;
vinrent;;
plus;;
;;
la;;
cloche;;
des;;
ateliers;;
ne;;
sonna;;
"
";;
pas;;
;;
le;;
puits;;
a;;
roue;;
cessa;;
de;;
grincer;;
;;
l';;
eau;;
des;;
grands;;
bassins;;
;;
dans;;
"
";;
lesquels;;
on;;
lavait;;
les;;
tissus;;
;;
demeura;;
immobile;;
;;
et;;
bientot;;
;;
dans;;
toute;;
"
";;
la;;
fabrique;;
;;
il;;
ne;;
resta;;
plus;;
que;;
M.;PER;
et;;
Me;PER;
Eyssette;PER;
;;
la;PER;
vieille;PER;
Annou;PER;
;;
"
";;
mon;;
frere;;
Jacques;PER;
et;;
moi;;
";";;
puis;;
;;
la;;
-0;;
bas;;
;;
dans;;
le;;
fond;;
;;
pour;;
garder;;
les;;
"
";;
ateliers;;
;;
le;PER;
concierge;PER;
Colombe;PER;
et;;
son;;
fils;;
le;PER;
petit;PER;
Rouget;PER;
.;;
"
";;
C';;
etait;;
fini;;
;;
nous;;
etions;;
ruines;;
.;;
"
";;
;;
avais;;
alors;;
six;;
ou;;
sept;;
ans;;
.;;
Comme;;
j';;
etais;;
tres;;
frele;;
et;;
maladif;;
;;
"
";;
mes;;
parents;;
n';;
avaient;;
pas;;
voulu;;
m';;
envoyer;;
a;;
l';;
ecole;;
.;;
Ma;;
mere;;
m';;
avait;;
"
";;
seulement;;
appris;;
a;;
lire;;
et;;
a;;
ecrire;;
;;
plus;;
quelques;;
mots;;
d';;
espagnol;;
et;;
"
";;
deux;;
ou;;
trois;;
airs;;
de;;
guitare;;
;;
a;;
l';;
aide;;
desquels;;
on;;
m';;
avait;;
fait;;
;;
dans;;
la;;
"
";;
famille;;
;;
une;;
reputation;;
de;;
petit;;
prodige;;
.;;
Grace;;
a;;
ce;;
systeme;;
d';;
education;;
;;
"
";;
je;;
ne;;
bougeais;;
jamais;;
de;;
chez;;
nous;;
;;
et;;
je;;
pus;;
