Token;Label_Maj;Quaero_Maj
PREMIÈRE;;
PARTIE;;
"
";;
I;;
--;;
LA;;
FABRIQUE;;
"
";;
Je;;
suis;;
né;;
le;;
13;;
mai;;
18;;
...;;
0;;
dans;;
une;;
ville;;
du;;
Languedoc;LOC;loc.adm.reg
où;;
l';;
on;;
trouve;;
0;;
comme;;
dans;;
toutes;;
les;;
villes;;
du;;
Midi;LOC;loc.adm.reg
0;;
beaucoup;;
de;;
soleil;;
0;;
pas;;
mal;;
de;;
poussière;;
0;;
un;;
couvent;LOC;loc.fac
de;LOC;loc.fac
carmélites;;
et;;
deux;;
ou;;
trois;;
monuments;;
romains;;
.;;
"
";;
Mon;;
père;;
0;;
M.;PER;
Eyssette;PER;
0;;
qui;;
faisait;;
à;;
cette;;
époque;;
le;;
commerce;;
des;;
foulards;;
0;;
avait;;
0;;
aux;;
portes;;
de;;
la;;
ville;;
0;;
une;;
grande;;
fabrique;;
dans;;
un;;
pan;;
de;;
laquelle;;
il;;
s';;
était;;
taillé;;
une;;
habitation;;
commode;;
0;;
tout;;
ombragée;;
de;;
platanes;;
0;;
et;;
séparée;;
des;;
ateliers;;
par;;
un;;
vaste;;
jardin;;
.;;
"
";;
C';;
est;;
là;;
que;;
je;;
suis;;
venu;;
au;;
monde;;
et;;
que;;
j';;
ai;;
passé;;
les;;
premières;;
0;;
les;;
seules;;
bonnes;;
années;;
de;;
ma;;
vie;;
.;;
"
";;
Aussi;;
ma;;
mémoire;;
reconnaissante;;
a;;
-t;;
-elle;;
gardé;;
du;;
jardin;;
0;;
de;;
la;;
fabrique;;
et;;
des;;
platanes;;
un;;
impérissable;;
souvenir;;
0;;
et;;
lorsque;;
à;;
la;;
ruine;;
de;;
mes;;
parents;;
il;;
m';;
a;;
fallu;;
me;;
séparer;;
de;;
ces;;
choses;;
0;;
je;;
les;;
ai;;
positivement;;
regrettées;;
comme;;
des;;
êtres;;
.;;
"
";;
Je;;
dois;;
dire;;
0;;
pour;;
commencer;;
0;;
que;;
ma;;
naissance;;
ne;;
porta;;
pas;;
bonheur;;
à;;
la;;
maison;LOC;loc.fac
Eyssette;;
.;;
La;PER;
vieille;PER;
Annou;PER;
0;;
notre;;
cuisinière;;
0;;
m';;
a;;
souvent;;
conté;;
depuis;;
comme;;
quoi;;
mon;;
père;;
0;;
en;;
voyage;;
à;;
ce;;
moment;;
0;;
reçut;;
en;;
même;;
temps;;
la;;
nouvelle;;
de;;
mon;;
apparition;;
dans;;
le;;
monde;;
et;;
celle;;
de;;
la;;
disparition;;
