Token;Label_Maj;Quaero_Maj
LA;;
FABRIQUE;;
"

";;
Je;;
suis;;
né;;
le;;
13;;
mai;;
18;;
...;;
;;
dans;;
une;;
ville;;
du;;
Languedoc;LOC;loc.adm.reg
;;
où;;
l’;;
on;;
1;;
"
";;
trouve;;
;;
comme;;
dans;;
toutes;;
les;;
villes;;
du;;
Midi;LOC;loc.adm.reg
;;
beaucoup;;
de;;
soleil;;
;;
pas;;
"
";;
mal;;
de;;
poussière;;
;;
un;;
couvent;LOC;loc.fac
de;LOC;loc.fac
Carmélites;LOC;loc.fac
et;;
deux;;
ou;;
trois;;
monuments;;
"
";;
romains;;
.;;
"

";;
Mon;;
père;;
;;
M.;PER;
Eyssette;PER;
;;
qui;;
faisait;;
à;;
cette;;
époque;;
le;;
commerce;;
des;;
"
";;
foulards;;
;;
avait;;
;;
aux;;
portes;;
de;;
la;;
ville;;
;;
une;;
grande;;
fabrique;;
dans;;
un;;
pan;;
"
";;
de;;
laquelle;;
il;;
s’;;
était;;
taillé;;
une;;
habitation;;
commode;;
;;
tout;;
ombragée;;
de;;
"
";;
platanes;;
et;;
séparée;;
des;;
ateliers;;
par;;
un;;
vaste;;
jardin;;
.;;
C’;;
est;;
là;;
que;;
je;;
suis;;
"
";;
venu;;
au;;
monde;;
et;;
que;;
j';;
ai;;
passé;;
les;;
premières;;
;;
les;;
seules;;
bonnes;;
années;;
"
";;
de;;
ma;;
vie;;
.;;
Aussi;;
ma;;
mémoire;;
reconnaissante;;
a;;
-t;;
-elle;;
gardé;;
du;;
jardin;;
"
";;
de;;
la;;
fabrique;;
et;;
des;;
platanes;;
un;;
impérissable;;
souvenir;;
;;
et;;
lorsqu’;;
à;;
"
";;
la;;
ruine;;
de;;
mes;;
parents;;
il;;
m’;;
a;;
fallu;;
me;;
séparer;;
de;;
ces;;
choses;;
;;
je;;
les;;
ai;;
"
";;
positivement;;
regrettées;;
comme;;
des;;
êtres;;
.;;
"

";;
Source;;
gallica.bnf.fr;;
/;;
Bibliothèque;;
nationale;;
de;;
France;;
"

";;
4;;
LE;;
PETIT;;
CHOSE;;
"

";;
ro;;
"

 

";;
PE;;
"

 

 

 

";;
US;;
"

";;
Je;;
dois;;
dire;;
;;
pour;;
commencer;;
;;
que;;
ma;;
naissance;;
ne;;
porta;;
pas;;
"
";;
bonheur;;
à;;
la;;
maison;;
Eyssette;;
.;;
La;PER;
vieille;PER;
Annou;PER;
;;
notre;;
cuisinière;;
;;
m’;;
a;;
"
";;
souvent;;
conté;;
depuis;;
comme;;
quoi;;
mon;;
père;;
;;
en;;
voyage;;
à;;
ce;;
moment;;
;;
"
";;
reçut;;
en;;
même;;
temps;;
la;;
nouvelle;;
de;;
mon;;
apparition;;
dans;;
le;;
monde;;
et;;
"
";;
celle;;
de;;
la;;
disparition;;
d’;;
un;;
de;;
ses;;
clients;;
de;;
Marseille;LOC;loc.adm.town
;;
qui;;
lui;;
emportait;;
"
";;
plus;;
de;;
quarante;;
mille;;
francs;;
;;
si;;
bien;;
que;;
M.;PER;
Eyssette;PER;
;;
heureux;;
et;;
"
";;
désolé;;
du;;
même;;
coup;;
;;
se;;
demandait;;
;;
comme;;
l’;;
autre;;
;;
s’;;
il;;
devait;;
pleurer;;
"
";;
pour;;
la;;
disparition;;
du;;
client;;
de;;
Marseille;LOC;loc.adm.town
;;
ou;;
rire;;
pour;;
l’;;
heureuse;;
"
";;
arrivée;;
du;;
petit;;
Daniel;PER;
...;;
Il;;
fallait;;
pleurer;;
;;
mon;;
bon;;
monsieur;PER;
Eyssette;PER;
;;
"
";;
il;;
fallait;;
pleurer;;
doublement;;
.;;
"

";;
C’;;
est;;
une;;
vérité;;
;;
je;;
fus;;
la;;
mauvaise;;
étoile;;
de;;
mes;;
parents;;
.;;
Du;;
jour;;
"
";;
de;;
ma;;
naissance;;
;;
d’;;
