Token;Label;Quaero;Correction
PTITB;MISC;;PER
JLANN;;;PER
"
";;;
IL;;;
DRV0IR;;;
.;;;
"
";;;
PHEIIIkI;MISC;;NA
PAIII;;;
.;;;
"
";;;
EMANCE;PER;;NA
DE;PER;;NA
JEANME;PER;;
,;;;
"
";;;
a;;;PER
mbre;PER;;PER
Nannette;PER;;PER
.;;;
"
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bousrg;;;
du;;;
dpartenent;;loc.adm.reg;LOC
du;;loc.adm.reg;LOC
"
";;;
tCher;;loc.adm.reg;LOC
une;;;
bonne;;;
veuve;;;
ag6e;MISC;;NA
de;MISC;;NA
soixante;MISC;;NA
ans;MISC;;NA
,;;;
qu';;;
on;;;
"
";;;
appelait;;;
la;;;PER
mbre;LOC;;PER
Nunnette;LOC;;PER
.;;;
Llle;LOC;;NA
poss6dait;;;
une;;;
petite;;;
"
";;;
maison;;;
aves;;;
une;;;
petite;;;
chneire;LOC;;NA
et;;;
un;;;
jardin;;;
"
";;;
plante;;;
de;;;
pommiers;;;
,;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
"
";;;
Du;;;
cbt6;;;
du;;;
chemin;;;
,;;;
un;;;
gros;;;
noyer;;;
,;;;
qui;;;
avait;;;
plus;;;
"
";;;
de;;;
cent;;;MISC
ans;;;MISC
,;;;
ombruageait;;;
le;;;
davant;;;
de;;;
sa;;;
porte;;;
.;;;
"
";;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
"
";;;
printemps;;;MISC
,;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
a;;;
la;;;PER
mere;;;PER
];;;
"
";;;
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
et;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
an-;;;MISC
];;;
"
";;;
nee;PER;;MISC
suivante;PER;;MISC
.;;;
Sil;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
r6eoltes;;;
"
";;;
de;;;
suite;;;
,;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
,;;;
ce;;;
qui;;;
"
";;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiquell;;;
poss6dht;;;
"
";;;
une;;;
vigne;;;
et;;;
un;;;
bssu;MISC;;NA
morceau;;;
de;;;
terre;;;
,;;;
elle;;;
n';;;
