Token;Label;Quaero;Correction
LA;MISC;;ORG
FABRIQUE;MISC;;ORG
"

";MISC;;NA
Je;MISC;;NA
suis;MISC;;NA
né;;;
le;;;MISC
13;;;MISC
mai;;;MISC
18;;;MISC
...;;;MISC
,;;;
dans;;;
une;;;
ville;;;
du;;;
Languedoc;LOC;loc.adm.reg;
,;;;
où;;;
l’;;;
on;;;
1;;;
"
";;;
trouve;;;
,;;;
comme;;;
dans;;;
toutes;;;
les;;;
villes;;;
du;;;
Midi;LOC;loc.adm.sup;
,;;;
beaucoup;;;
de;;;
soleil;;;
,;;;
pas;;;
"
";;;
mal;;;
de;;;
poussière;;;
,;;;
un;;;
couvent;;loc.fac;
de;;loc.fac;
Carmélites;LOC;loc.fac;
et;;;
deux;;;
ou;;;
trois;;;
monuments;;;MISC
"
";;;MISC
romains;LOC;;MISC
.;;;
"

";;;
Mon;;;
père;;;
,;;;
M.;PER;;
Eyssette;PER;;
,;;;
qui;;;
faisait;;;
à;;;
cette;;;
époque;;;
le;;;
commerce;;;
des;;;
"
";;;
foulards;;;
,;;;
avait;;;
,;;;
aux;;;
portes;;;
de;;;
la;;;
ville;;;
,;;;
une;;;
grande;;;
fabrique;;loc.fac;LOC
dans;;;
un;;;
pan;;;
"
";;;
de;;;
laquelle;;;
il;;;
s’;;;
était;;;
taillé;;;
une;;;
habitation;;loc.fac;LOC
commode;;;
,;;;
tout;;;
ombragée;;;
de;;;
"
";;;
platanes;;;
et;;;
séparée;;;
des;;;
ateliers;;loc.fac;LOC
par;;;
un;;;
vaste;;;
jardin;;loc.phys;LOC
.;;;
C’;;;
est;;;
là;;;
que;;;
je;;;
suis;;;
"
";;;
venu;;;
au;;;
monde;;;
et;;;
que;;;
j';;;
ai;;;
passé;;;
les;;;
premières;;;
,;;;
les;;;
seules;;;
bonnes;;;
années;;;
"
";;;
de;;;
ma;;;
vie;;;
.;;;
Aussi;;;
ma;;;
mémoire;;;
reconnaissante;;;
a;;;
-t;;;
-elle;;;
gardé;;;
du;;;
jardin;;loc.phys;LOC
"
";;;
de;;;
la;;loc.fac;LOC
fabrique;;loc.fac;LOC
et;;;
des;;;
platanes;;;
un;;;
impérissable;;;
souvenir;;;
,;;;
et;;;
lorsqu’;;;
à;;;
"
";;;
la;;;
ruine;;;
de;;;
mes;;;
parents;;;PER
il;;;
m’;;;
a;;;
fallu;;;
me;;;
séparer;;;
de;;;
ces;;;
choses;;;
,;;;
je;;;
les;;;
ai;;;
"
";;;
positivement;;;
regrettées;;;
comme;;;
des;;;
êtres;;;
.;;;
"

";;;
Source;;;
gallica.bnf.fr;;;
/;;;
Bibliothèque;LOC;;ORG
nationale;LOC;;ORG
de;LOC;;ORG
France;LOC;;ORG
"

";;;
4;;;
LE;;;
PETIT;;;
CHOSE;;;
"

";;;
ro;;;
"

 

";;;
PE;MISC;;NA
"

 

 

 

";MISC;;NA
US;MISC;;NA
"

";MISC;;NA
Je;MISC;;NA
dois;MISC;;NA
dire;MISC;;NA
,;;;
pour;;;
commencer;;;
,;;;
que;;;
ma;;;
naissance;;;
ne;;;
porta;;;
pas;;;
"
";;;
bonheur;;;
à;;;
la;;;ORG
maison;;;ORG
Eyssette;LOC;;ORG
.;;;
La;;;PER
vieille;;;PER
Annou;LOC;;PER
,;;;
notre;;;
cuisinière;;;
,;;;
m’;;;
a;;;
"
";;;
souvent;;;
conté;;;
depuis;;;
comme;;;
quoi;;;
mon;;;
père;;;PER
,;;;
en;;;
voyage;;;
à;;;
ce;;;
moment;;;
,;;;
"
";;;
reçut;;;
en;;;
même;;;
temps;;;
la;;;
nouvelle;;;
de;;;
mon;;;
apparition;;;
dans;;;
le;;;
monde;;;
et;;;
"
";;;
celle;;;
de;;;
la;;;
disparition;;;
d’;;;
un;;;
de;;;
ses;;;
clients;;;
de;;;
Marseille;LOC;loc.adm.town;
,;;;
qui;;;
lui;;;
emportait;;;
"
";;;
plus;;;
de;;;
quarante;;;
mille;;;
francs;;;MISC
";";;;
si;;;
bien;;;
que;;;
M.;PER;;
Eyssette;PER;;
,;;;
heureux;;;
et;;;
"
";;;
désolé;;;
du;;;
même;;;
coup;;;
,;;;
se;;;
demandait;;;
,;;;
comme;;;
l’;;;
autre;;;
,;;;
s’;;;
il;;;
devait;;;
pleurer;;;
"
";;;
pour;;;
la;;;
disparition;;;
du;;;
client;;;
de;;;
Marseille;LOC;loc.adm.town;
,;;;
ou;;;
rire;;;
pour;;;
l’;;;
heureuse;;;
"
";;;
arrivée;;;
du;;;
petit;;;
Daniel;PER;;
...;;;
Il;;;
fallait;;;
pleurer;;;
,;;;
mon;;;
bon;;;
monsieur;;;PER
Eyssette;PER;;PER
,;;;
"
";;;
il;;;
fallait;;;
pleurer;;;
doublement;;;
.;;;
"

";;;
C’;;;
est;;;
une;;;
vérité;;;
,;;;
je;;;
fus;;;
la;;;
mauvaise;;;
étoile;;;
de;;;
mes;;;
parents;;;PER
.;;;
Du;;;
jour;;;
"
";;;
de;;;
ma;;;
naissance;;;
,;;;
d’;;;
incroyables;;;
malheurs;;;
les;;;
assaillirent;;;
par;;;
vingt;;;
"
";;;
endroits;;;
.;;;
D';;;
abord;;;
nous;;;
eûmes;;;
donc;;;
le;;;
client;;;
de;;;
Marseille;LOC;loc.adm.town;
,;;;
puis;;;
deux;;;
"
";;;
fois;;;
le;;;
feu;;;
dans;;;
la;;;
même;;;
année;;;
,;;;
puis;;;
la;;;
grève;;;
des;;;
ourdisseuses;;;
,;;;
puis;;;
"
";;;
notre;;;
brouille;;;
avec;;;
l’;;;PER
oncle;;;PER
Baptiste;PER;;PER
,;;;
puis;;;
un;;;
procès;;;
très;;;
coûteux;;;
avec;;;
"
";;;
nos;;;
marchands;;;PER
de;;;PER
couleurs;;;PER
,;;;
puis;;;
,;;;
enfin;;;
,;;;
la;;;
Révolution;MISC;;
de;MISC;;
