Token;Label;Quaero;Correction
PETITE;;;
JEANNE;MISC;;NA
"

";MISC;;NA
LE;MISC;;NA
DEVOIR;MISC;;NA
.;;;
"

";;;
_;;;
—;;;
"

";;;
PREMIÈRE;;;
PARTIE;;;
.;;;
"
";;;
ENFANCE;;;
DE;PER;;NA
JEANNE;PER;;NA
.;;;
"

 

";;;
La;;;
mère;;;
Nannette;LOC;;NA
.;;;
"

";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bourg;;loc.adm.town;LOC
du;;;
département;LOC;loc.adm.reg;LOC
du;LOC;;NA
"
";LOC;;NA
Cher;LOC;loc.adm.reg;LOC
une;;;
bonne;;;
veuve;;;
âgée;;;
de;;;
soixante;;;
ans;;;
,;;;
qu';;;
on;;;
"
";;;
appelait;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
Elle;;;
possédait;;;
une;;;
petite;;;
"
";;;
maison;;loc.fac;LOC
avec;;;
une;;;
petite;;;
chènevière;;loc.phys.geo;LOC
et;;;
un;;;
jardin;;loc.fac;LOC
"
";;;
planté;;;
de;;;
pommiers;;;
,;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
"
";;;
Du;;;
côté;;;
du;;;
chemin;;loc.oro;LOC
,;;;
un;;;
gros;;;
noyer;;;
,;;;
qui;;;
avait;;;
plus;;;
"
";;;
de;;;
cent;;;
ans;;;
,;;;
ombrageait;;;
le;;;
devant;;;
de;;;
sa;;;
porte;;;
.;;;
"
";;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
"
";;;
printemps;;;
,;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
à;;;
la;;;PER
mère;;;PER
"
";;;PER
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
eût;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
an-;;;
"
";;;
née;;;
suivante;;;
.;;;
S';;;
il;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
récoltes;;;
"
";;;
de;;;
suite;;;
,;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
,;;;
ce;;;
qui;;;
"
";;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiqu';;;
elle;;;
possédât;;;
"
";;;
une;;;
vigne;;loc.fac;LOC
et;;;
un;;;
beau;;;
morceau;;;
de;;;
terre;;;
,;;;
elle;;;
n';;;
a-;;;
"
";;;
vait;;;
que;;;
bien;;;
juste;;;
ce;;;
qu';;;
il;;;
lui;;;
fallait;;;
pour;;;
vivre;;;
.;;;
"

 

";;;
8;;;
PREMIÈRE;MISC;;NA
PARTIR;MISC;;NA
,;;;
"

";;;
Elle;;;
semait;;;
du;;;
froment;;;
deux;;;
années;;;
de;;;
suite;;;
dans;;;
"
";;;
son;;;
champ;;loc.fac;LOC
,;;;
qui;;;
,;;;
la;;;
troisième;;;
,;;;
rapportait;;;
alterna-;;;
"
";;;
tivement;;;
du;;;
trèfle;;;
et;;;
des;;;
pommes;;;
de;;;
terre;;;
.;;;
Elle;;;
"
";;;
récoltait;;;
assez;;;
de;;;
blé;;;
pour;;;
se;;;
nourrir;;;
pendant.les;;;
"
";;;
trois;;;
ans;;;
.;;;
Mais;;;
si;;;
l';;;
année;;;
était;;;
mauvaise;;;
,;;;
la;;;PER
mère;;;PER
"
";;;PER
Nannette;LOC;;PER
vendait;;;
la;;;
pièce;;;
de;;;
toile;;;
qu';;;
elle;;;
avait;;;
fait;;;
"
";;;
faire;;;
avec;;;
le;;;
chanvre;;;
amassé;;;
et;;;
filé;;;
pendant;;;
quatre;;;
"
";;;
ans;;;
.;;;
L';;;
argent;;;
qu';;;
elle;;;
en;;;
retirait;;;
lui;;;
servait;;;
à;;;
com-;;;
"
";;;
pléter;;;
sa;;;
provision;;;
de;;;
blé;;;
";";;;
et;;;
,;;;
malgré;;;
tout;;;
cela;;;
,;;;
"
";;;
elle;;;
pâtissait;;;
bien;;;
un;;;
peu;;;
l';;;
hiver;;;
.;;;
