Token;Label;Quaero;Correction
PTITB;MISC;;PER
JLANN;;;PER
";;;
";;;
IL;;;
DRV0IR;;;
.;;;
";;;
";;;
PHEIIIkI;MISC;;NA
PAIII;;;NA
.;;;
";;;
";;;
EMANCE;PER;;NA
DE;PER;;NA
JEANME;PER;;PER
0;;;
";;;
";;;
a;;;
mbre;PER;;NA
Nannette;PER;;PER
.;;;
";;;
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bousrg;;;
du;;loc.add.phys;LOC
dpartenent;;loc.add.phys;LOC
du;;loc.add.phys;LOC
";;;
";;;
tCher;;loc.add.phys;LOC
une;;;
bonne;;;
veuve;;;
ag6e;MISC;;NA
de;MISC;;NA
soixante;MISC;;NA
ans;MISC;;NA
0;;;
qu';;;
on;;;
";;;
";;;
appelait;;;
la;;;PER
mbre;LOC;;PER
Nunnette;LOC;;PER
.;;;
Llle;LOC;;NA
poss6dait;;;
une;;;
petite;;;
";;;
";;;
maison;;;
aves;;;
une;;;
petite;;;
chneire;LOC;;NA
et;;;
un;;;
jardin;;;
";;;
";;;
plante;;;
de;;;
pommiers;;;
0;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
";;;
";;;
Du;;;
cbt6;;;
du;;;
chemin;;;
0;;;
un;;;
gros;;;
noyer;;;
0;;;
qui;;;
avait;;;
plus;;;
";;;
";;;
de;;;
cent;;;
ans;;;
0;;;
ombruageait;;;
le;;;
davant;;;
de;;;
sa;;;
porte;;;
.;;;
";;;
";;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
";;;
";;;
printemps;;;
0;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
a;;;
la;;;
mere;;;
];;;
";;;
";;;
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
et;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
an-;;;
];;;
";;;
";;;
nee;PER;;NA
suivante;PER;;NA
.;;;
Sil;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
r6eoltes;;;
";;;
";;;
de;;;
suite;;;
0;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
0;;;
ce;;;
qui;;;
";;;
";;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiquell;;;
poss6dht;;;
";;;
";;;
une;;;
vigne;;;
et;;;
un;;;
bssu;MISC;;NA
morceau;;;
