Token;Label;Quaero;Correction
PETITE;;;PER
JEANNE;MISC;;PER
";;;
;;;
";MISC;;NA
LE;MISC;;NA
DEVOIR;MISC;;NA
.;;;
";;;
;;;
";;;
_;;;
—;;;
";;;
;;;
";;;
PREMIÈRE;;;
PARTIE;;;
.;;;
";;;
";;;
ENFANCE;;;
DE;PER;;NA
JEANNE;PER;;
.;;;
";;;
;;;
 ;;;
;;;
";;;
La;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
";;;
;;;
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bourg;;;
du;;;
département;LOC;loc.add.phys;
du;LOC;loc.add.phys;
";;;
";LOC;loc.add.phys;
Cher;LOC;loc.add.phys;
une;;;
bonne;;;
veuve;;;
âgée;;;
de;;;
soixante;;;
ans;;;
0;;;
qu';;;
on;;;
";;;
";;;
appelait;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
Elle;;;
possédait;;;
une;;;
petite;;;
";;;
";;;
maison;;;
avec;;;
une;;;
petite;;;
chènevière;;;
et;;;
un;;;
jardin;;;
";;;
";;;
planté;;;
de;;;
pommiers;;;
0;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
";;;
";;;
Du;;;
côté;;;
du;;;
chemin;;;
0;;;
un;;;
gros;;;
noyer;;;
0;;;
qui;;;
avait;;;
plus;;;
";;;
";;;
de;;;
cent;;;
ans;;;
0;;;
ombrageait;;;
le;;;
devant;;;
de;;;
sa;;;
porte;;;
.;;;
";;;
";;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
";;;
";;;
printemps;;;
0;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
à;;;
la;;;PER
mère;;;PER
";;;
";;;
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
eût;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
an-;;;
";;;
";;;
née;;;
suivante;;;
.;;;
S';;;
il;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
récoltes;;;
";;;
";;;
de;;;
suite;;;
0;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
0;;;
ce;;;
qui;;;
";;;
";;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiqu';;;
elle;;;
possédât;;;
";;;
";;;
une;;;
vigne;;;
et;;;
un;;;
beau;;;
morceau;;;
de;;;
terre;;;
0;;;
elle;;;
n';;;
a-;;;
";;;
";;;
vait;;;
que;;;
bien;;;
juste;;;
ce;;;
qu';;;
il;;;
lui;;;
fallait;;;
pour;;;
vivre;;;
.;;;
";;;
;;;
 ;;;
;;;
";;;
8;;;
PREMIÈRE;MISC;;NA
PARTIR;MISC;;NA
0;;;
";;;
;;;
";;;
Elle;;;
semait;;;
du;;;
froment;;;
deux;;;
années;;;
de;;;
suite;;;
dans;;;
";;;
";;;
son;;;
champ;;;
0;;;
qui;;;
0;;;
la;;;
troisième;;;
0;;;
rapportait;;;
alterna-;;;
";;;
";;;
tivement;;;
du;;;
trèfle;;;
et;;;
des;;;
pommes;;;
de;;;
terre;;;
.;;;
Elle;;;
";;;
";;;
récoltait;;;
assez;;;
de;;;
blé;;;
pour;;;
se;;;
nourrir;;;
pendant.les;;;
";;;
";;;
trois;;;
ans;;;
.;;;
Mais;;;
si;;;
l';;;
année;;;
était;;;
mauvaise;;;
0;;;
la;;;PER
mère;;;PER
";;;
";;;
Nannette;LOC;;PER
vendait;;;
la;;;
pièce;;;
de;;;
toile;;;
qu';;;
elle;;;
avait;;;
fait;;;
";;;
";;;
faire;;;
avec;;;
le;;;
chanvre;;;
amassé;;;
et;;;
filé;;;
pendant;;;
quatre;;;
";;;
";;;
ans;;;
.;;;
L';;;
argent;;;
qu';;;
elle;;;
en;;;
retirait;;;
lui;;;
servait;;;
à;;;
com-;;;
";;;
";;;
pléter;;;
sa;;;
provision;;;
de;;;
blé;;;
";";;
et;;;
0;;;
malgré;;;
tout;;;
cela;;;
0;;;
";;;
";;;
elle;;;
pâtissait;;;
bien;;;
un;;;
peu;;;
l';;;
hiver;;;
.;;;
";;;
;;;
";;;
Pour;;;
que;;;
la;;;
terre;;;
rapporte;;;
chaque;;;
année;;;
sans;;;
";;;
";;;
se;;;
reposer;;;
0;;;
il;;;
faut;;;
beaucoup;;;
de;;;
fumier;;;
";";;
la;;;PER
mère;;;PER
";;;
";;;
Nannette;LOC;;PER
0;;;
qui;;;
le;;;
savait;;;
bien;;;
0;;;
avait;;;
une;;;
vache;;;
et;;;
";;;
";;;
une;;;
chèvre;;;
qu';;;
elle;;;
menait;;;
paître;;;
sur;;;
les;;;
commu-;;;
";;;
";;;
naux;;;
et;;;
le;;;
long;;;
des;;;
haies;;;
.;;;
Avec;;;
leur;;;
lait;;;
elle;;;
faisait;;;
";;;
";;;
du;;;
beurre;;;
et;;;
des;;;
fromages;;;
0;;;
qu';;;
elle;;;
vendait;;;
à;;;
la;;;
";;;
";;;
ville;;;
voisine;;;
.;;;
Quand;;;
ses;;;
bêtes;;;
étaient;;;
rentrées;;;
à;;;
";;;
";;;
l';;;
étable;;;
0;;;
elle;;;
allait;;;
chercher;;;
pour;;;
elles;;;
de;;;
l';;;
herbe;;;
";;;
";;;
dans;;;
les;;;
champs;;;
et;;;
au;;;
bord;;;
des;;;
ruisseaux;;;
.;;;
Comme;;;
";;;
";;;
elle;;;
les;;;
tenait;;;
bien;;;
proprement;;;
0;;;
elles;;;
étaient;;;
en;;;
ban;;;
";;;
";;;
état;;;
.;;;
L';;;
hiver;;;
0;;;
elles;;;
mangeaient;;;
ou;;;
du;;;
trèfle;;;
qui;;;
";;;
";;;
avait;;;
été;;;
rentré;;;
bien;;;
sec;;;
0;;;
ou;;;
du;;;
regain;;;
récolté;;;
après;;;
";;;
";;;
la;;;
fauche;;;
des;;;
grands;;;
foins;;;
.;;;
";;;
;;;
";;;
La;;;PER
mère;;;PER
Nannette;LOC;;PER
vendait;;;
son;;;
vin;;;
et;;;
ne;;;
buvait;;;
";;;
";;;
que;;;
sa;;;
boisson;;;
‘;;;
";";;
mais;;;
0;;;
comme;;;
l';;;
argent;;;
qu’;;;
elle;;;
ti-;;;
";;;
";;;
rait;;;
de;;;
son;;;
vin;;;
suffisait;;;
bien;;;
juste;;;
0;;;
avec;;;
celui;;;
de;;;
";;;
";;;
son;;;
beurre;;;
et;;;
de;;;
ses;;;
fromages;;;
0;;;
à;;;
payer;;;
l’;;;
impôt;;;
et;;;
";;;
";;;
les;;;
façons;;;
de;;;
son;;;
champ;;;
et;;;
de;;;
sa;;;
vigne;;;
0;;;
et;;;
qu';;;
il;;;
lui;;;
";;;
";;;
fallait;;;
encore;;;
se;;;
procurer;;;
