Token;Label;Quaero;Correction
PREMIÈRE;;;
PARTIE;;;
.;;;
"
";;;
ENFANCE;;;
DE;PER;;NA
JEANNE;PER;;
.;;;
"
";;;
La;;;
mère;;;
Nannette;LOC;;
.;;;
"
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bourg;;loc.adm.town;LOC
du;;;
département;LOC;loc.adm.reg;
du;LOC;;NA
Cher;LOC;loc.adm.reg;
une;;;
bonne;;;
veuve;;;
âgée;;;
de;;;
soixante;;;
ans;;;
,;;;
qu';;;
on;;;
appelait;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
Elle;;;
possédait;;;
une;;;
petite;;;
maison;;loc.fac;LOC
avec;;;
une;;;
petite;;;
chènevière;;loc.phys.geo;LOC
et;;;
un;;;
jardin;;loc.fac;LOC
planté;;;
de;;;
pommiers;;;
,;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
Du;;;
côté;;;
du;;;
chemin;;loc.oro;LOC
,;;;
un;;;
gros;;;
noyer;;;
,;;;
qui;;;
avait;;;
plus;;;
de;;;
cent;;;
ans;;;
,;;;
ombrageait;;;
le;;;
devant;;;
de;;;
sa;;;
porte;;;
.;;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
printemps;;;
,;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
à;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
eût;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
année;;;
suivante;;;
.;;;
"
";;;
S';;;
il;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
récoltes;;;
de;;;
suite;;;
,;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
,;;;
ce;;;
qui;;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiqu';;;
elle;;;
possédât;;;
une;;;
vigne;;loc.fac;LOC
et;;;
un;;;
beau;;;
morceau;;;
de;;;
terre;;;
,;;;
elle;;;
n';;;
avait;;;
que;;;
bien;;;
juste;;;
ce;;;
qu';;;
il;;;
lui;;;
fallait;;;
pour;;;
vivre;;;
.;;;
"
";;;
Elle;;;
semait;;;
du;;;
froment;;;
deux;;;
années;;;
de;;;
suite;;;
dans;;;
son;;;
champ;;loc.fac;LOC
,;;;
qui;;;
,;;;
la;;;
troisième;;;
,;;;
rapportait;;;
alternativement;;;
du;;;
trèfle;;;
et;;;
