Token;Label;Quaero;Correction
PREMIèRE;;;
PARTIE;;;
.;;;
"
";;;
ENFANCE;;;
DE;PER;;
JEANNE;PER;;
.;;;
"
";;;
La;;;
mère;;;
Nannette;LOC;;
.;;;
"
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bourg;;;
du;;;
dèpartement;LOC;;
du;LOC;;
Cher;LOC;;
une;;;
bonne;;;
veuve;;;
ègèe;;;
de;;;
soixante;;;
ans;;;
;;;
qu';;;
on;;;
appelait;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
Elle;;;
possèdait;;;
une;;;
petite;;;
maison;;;
avec;;;
une;;;
petite;;;
chènevière;;;
et;;;
un;;;
jardin;;;
plantè;;;
de;;;
pommiers;;;
;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
Du;;;
cètè;;;
du;;;
chemin;;;
;;;
un;;;
gros;;;
noyer;;;
;;;
qui;;;
avait;;;
plus;;;
de;;;
cent;;;
ans;;;
;;;
ombrageait;;;
le;;;
devant;;;
de;;;
sa;;;
porte;;;
.;;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
printemps;;;
;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
è;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
eèt;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
annèe;;;
suivante;;;
.;;;
"
";;;
S';;;
il;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
rècoltes;;;
de;;;
suite;;;
;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
;;;
ce;;;
qui;;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiqu';;;
elle;;;
possèdèt;;;
une;;;
vigne;;;
et;;;
un;;;
beau;;;
morceau;;;
de;;;
terre;;;
;;;
elle;;;
n';;;
avait;;;
que;;;
bien;;;
juste;;;
ce;;;
qu';;;
il;;;
lui;;;
fallait;;;
pour;;;
vivre;;;
.;;;
"
";;;
Elle;;;
semait;;;
du;;;
froment;;;
deux;;;
annèes;;;
de;;;
suite;;;
dans;;;
son;;;
champ;;;
;;;
qui;;;
;;;
la;;;
troisième;;;
;;;
rapportait;;;
alternativement;;;
du;;;
trèfle;;;
et;;;
des;;;
pommes;;;
de;;;
terre;;;
.;;;
"
";;;
Elle;;;
rècoltait;;;
assez;;;
de;;;
blè;;;
pour;;;
se;;;
