Token;Label;AA_Correction;AA_Quaero;CF_Correction;CF_Quaero;CKP_Correction;CKP_Quaero;DN_Correction;DN_Quaero;LM_Correction;LM_Quaero;MB_Correction;MB_Quaero
PREMIÈRE;;;;;;;;;;;;;
PARTIE;MISC;NA;;NA;;NA;;NA;;NA;;NA;
"
";MISC;NA;;NA;;NA;;NA;;NA;;NA;
I;MISC;NA;;NA;;NA;;NA;;NA;;NA;
--;;;;;;;;;;;;;
LA;;;;;;;;;;;;;
FABRIQUE;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Je;;;;;;;;;;;;;
suis;;;;;;;;;;;;;
né;;;;;;;;;;;;;
le;;;;;;MISC;;;;;;;
13;;;;;;MISC;;;;;;;
mai;;;;;;MISC;;;;;;;
18;;;;;;MISC;;;;;;;
...;;;;;;MISC;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
une;;;;;;;;;;;;;
ville;;;;;;;;LOC;loc.adm.town;;;;
du;;;;;;;;;;;;;
Languedoc;LOC;;LOC;;loc.adm.reg;;loc.adm.reg;;loc.adm.reg;;loc.adm.reg;;
où;;;;;;;;;;;;;
l';;;;;;;;;;;;;
on;;;;;;;;;;;;;
trouve;;;;;;;;;;;;;
0;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
toutes;;;;;;;;;;;;;
les;;;;;;;;;;;;;
villes;;;;;;;;LOC;loc.adm.town;;;;
du;;;;;;;;;;;;;
Midi;LOC;;LOC;;loc.adm.reg;;loc.adm.sup;;loc.adm.reg;;loc.adm.reg;;
0;;;;;;;;;;;;;
beaucoup;;;;;;;;;;;;;
de;;;;;;;;;;;;;
soleil;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
mal;;;;;;;;;;;;;
de;;;;;;;;;;;;;
poussière;;;;;;;;;;;;;
0;;;;;;;;;;;;;
un;;;;;;;;;;;;;
couvent;LOC;NA;;;loc.adm.town;;loc.fac;;loc.fac;;loc.fac;NA;
de;LOC;NA;;;loc.adm.town;;loc.fac;;loc.fac;;loc.fac;NA;
