Token;Label;Quaero;Correction
PREMIÈRE;;;
PARTIE;;;
.;;;
"
";;;
ENFANCE;;;
DE;PER;;NA
JEANNE;PER;;PER
.;;;
"
";;;
La;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
"
";;;
Il;;;
y;;;
avait;;;
dans;;;
un;;;
bourg;;;
du;;;
département;LOC;loc.adm.reg;
du;LOC;loc.adm.reg;
Cher;LOC;loc.adm.reg;
une;;;
bonne;;;
veuve;;;
âgée;;;
de;;;
soixante;;;
ans;;;
0;;;
qu';;;
on;;;
appelait;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
.;;;
Elle;;;
possédait;;;
une;;;
petite;;;
maison;;;
avec;;;
une;;;
petite;;;
chènevière;;;
et;;;
un;;;
jardin;;;
planté;;;
de;;;
pommiers;;;
0;;;
de;;;
pruniers;;;
et;;;
de;;;
groseilliers;;;
.;;;
Du;;;
côté;;;
du;;;
chemin;;;
0;;;
un;;;
gros;;;
noyer;;;
0;;;
qui;;;
avait;;;
plus;;;
de;;;
cent;;;
ans;;;
0;;;
ombrageait;;;
le;;;
devant;;;
de;;;
sa;;;
porte;;;
.;;;
Quand;;;
les;;;
fleurs;;;
de;;;
cet;;;
arbre;;;
ne;;;
gelaient;;;
pas;;;
au;;;
printemps;;;
0;;;
il;;;
donnait;;;
assez;;;
de;;;
noix;;;
à;;;
la;;;PER
mère;;;PER
Nannette;LOC;;PER
pour;;;
qu';;;
elle;;;
eût;;;
sa;;;
provision;;;
d';;;
huile;;;
l';;;
année;;;
suivante;;;
.;;;
"
";;;
S';;;
il;;;
se;;;
faisait;;;
deux;;;
bonnes;;;
récoltes;;;
de;;;
suite;;;
0;;;
elle;;;
vendait;;;
une;;;
partie;;;
des;;;
noix;;;
0;;;
ce;;;
qui;;;
lui;;;
donnait;;;
un;;;
petit;;;
profit;;;
.;;;
Quoiqu';;;
elle;;;
possédât;;;
une;;;
vigne;;;
et;;;
un;;;
beau;;;
morceau;;;
de;;;
terre;;;
0;;;
elle;;;
n';;;
avait;;;
que;;;
bien;;;
juste;;;
ce;;;
qu';;;
il;;;
lui;;;
fallait;;;
pour;;;
vivre;;;
.;;;
"
";;;
Elle;;;
semait;;;
du;;;
froment;;;
deux;;;
années;;;
de;;;
suite;;;
dans;;;
son;;;
champ;;;
0;;;
qui;;;
0;;;
la;;;
troisième;;;
0;;;
rapportait;;;
alternativement;;;
du;;;
trèfle;;;
et;;;
des;;;
pommes;;;
de;;;
terre;;;
.;;;
"
";;;
Elle;;;
récoltait;;;
