OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
KRAKEN,enrichi,Caltica,7,Caltica,7,0
KRAKEN,enrichi,"Vrau
Darien",11,Darien,6,-5
KRAKEN,enrichi,Georges,7,Georges,7,0
KRAKEN,enrichi,Msagit,6,Msagit,6,0
KRAKEN,enrichi,Callicd,7,Callicd,7,0
KRAKEN,enrichi,Callicd,7,Callicd,7,0
KRAKEN,enrichi,Contacter,9,Contacter,9,0
KRAKEN,enrichi,STOCK,5,STOCK,5,0
KRAKEN,enrichi,Aancionne,9,Aancionne,9,0
KRAKEN,enrichi,Hoivige,7,Hoivige,7,0
KRAKEN,enrichi,I Yolume,8,Yolume,6,-2
KRAKEN,enrichi,Birihi,6,Birihi,6,0
KRAKEN,enrichi,Chrh,4,Chrh,4,0
KRAKEN,enrichi,Stoch,5,Stoch,5,0
KRAKEN,enrichi,1a Lecture,10,Lecture,7,-3
KRAKEN,enrichi,Caisfier,8,Caisfier,8,0
KRAKEN,enrichi,Delgique,8,Delgique,8,0
KRAKEN,enrichi,Belsique,8,Belsique,8,0
KRAKEN,enrichi,Mon Dieu !,10,Dieu,4,-6
KRAKEN,enrichi,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi,M. Kandal,9,Kandal,6,-3
KRAKEN,enrichi,Cicorges,8,Cicorges,8,0
KRAKEN,enrichi,Randal,6,Randal,6,0
KRAKEN,enrichi,Vant,4,Vant,4,0
KRAKEN,enrichi,M. Randal,9,Randal,6,-3
KRAKEN,enrichi,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi,Sourire,7,Sourire,7,0
KRAKEN,enrichi,M. Randal,9,Randal,6,-3
KRAKEN,enrichi,Jugor,5,Jugor,5,0
KRAKEN,enrichi,Dieu,4,Dieu,4,0
KRAKEN,enrichi,M. Randal,9,Randal,6,-3
KRAKEN,enrichi,Lerestituer,11,Lerestituer,11,0
KRAKEN,enrichi,Empossible,10,Empossible,10,0
KRAKEN,enrichi,LLerapsorier,12,LLerapsorier,12,0
KRAKEN,enrichi,ourde,5,ourde,5,0
KRAKEN,enrichi,Randal,6,Randal,6,0
KRAKEN,enrichi,Messieurs,9,Messieurs,9,0
KRAKEN,enrichi,Voleur-la,9,Voleur,6,-3
KRAKEN,enrichi,Voleur,6,Voleur,6,0
KRAKEN,enrichi,le Voleur,9,Voleur,6,-3
KRAKEN,enrichi,Retrir,6,Retrir,6,0
KRAKEN,enrichi,Dentetre,8,Dentetre,8,0
KRAKEN,enrichi,A Aiits,7,Aiits,5,-2
KRAKEN,enrichi,IVr,3,IVr,3,0
KRAKEN,enrichi,Cothmle,7,Cothmle,7,0
KRAKEN,enrichi,Couclusions,11,Couclusions,11,0
KRAKEN,enrichi,Mme Dubourg,11,Dubourg,7,-4
KRAKEN,enrichi,Augustine,9,Augustine,9,0
KRAKEN,enrichi,JErles,6,JErles,6,0
KRAKEN,enrichi,Lecure,6,Lecure,6,0
KRAKEN,enrichi,Cntant,6,Cntant,6,0
KRAKEN,enrichi,Aurontun,8,Aurontun,8,0
KRAKEN,enrichi,s. Vont,7,Vont,4,-3
KRAKEN,enrichi,Jappd-,6,Jappd-,6,0
KRAKEN,enrichi,Cher,4,Cher,4,0
KRAKEN,enrichi,Cornes,6,Cornes,6,0
KRAKEN,enrichi,Candeur !,9,Candeur,7,-2
KRAKEN,enrichi,Servi,5,Servi,5,0
