OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
KRAKEN,enrichi_80-20,Caltica,7,Caltica,7,0
KRAKEN,enrichi_80-20,Darien,6,Darien,6,0
KRAKEN,enrichi_80-20,"Vrau
Darien",11,Darien,6,-5
KRAKEN,enrichi_80-20,I Quclques,10,Quclques,8,-2
KRAKEN,enrichi_80-20,Msagit,6,Msagit,6,0
KRAKEN,enrichi_80-20,Al Callicd,10,Callicd,7,-3
KRAKEN,enrichi_80-20,Callicd,7,Callicd,7,0
KRAKEN,enrichi_80-20,Callicd,7,Callicd,7,0
KRAKEN,enrichi_80-20,Contacter,9,Contacter,9,0
KRAKEN,enrichi_80-20,Hoivige,7,Hoivige,7,0
KRAKEN,enrichi_80-20,I Yolume,8,Yolume,6,-2
KRAKEN,enrichi_80-20,ROAA,4,ROAA,4,0
KRAKEN,enrichi_80-20,Mon Dieu !,10,Dieu,4,-6
KRAKEN,enrichi_80-20,Ccomprendra,11,Ccomprendra,11,0
KRAKEN,enrichi_80-20,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi_80-20,M. Kandal,9,Kandal,6,-3
KRAKEN,enrichi_80-20,Cicorges,8,Cicorges,8,0
KRAKEN,enrichi_80-20,Randal,6,Randal,6,0
KRAKEN,enrichi_80-20,Louvez,6,Louvez,6,0
KRAKEN,enrichi_80-20,Loujours,8,Loujours,8,0
KRAKEN,enrichi_80-20,M. Randal,9,Randal,6,-3
KRAKEN,enrichi_80-20,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi_80-20,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi_80-20,M. Randal,9,Randal,6,-3
KRAKEN,enrichi_80-20,Jugor,5,Jugor,5,0
KRAKEN,enrichi_80-20,Dieu,4,Dieu,4,0
KRAKEN,enrichi_80-20,Note,4,Note,4,0
KRAKEN,enrichi_80-20,M. Randal,9,Randal,6,-3
KRAKEN,enrichi_80-20,Monsieurd,9,Monsieurd,9,0
KRAKEN,enrichi_80-20,Lerestituer,11,Lerestituer,11,0
KRAKEN,enrichi_80-20,Matheureusement,15,Matheureusement,15,0
KRAKEN,enrichi_80-20,Randal,6,Randal,6,0
KRAKEN,enrichi_80-20,Messieurs,9,Messieurs,9,0
KRAKEN,enrichi_80-20,da touetter,11,touetter,8,-3
KRAKEN,enrichi_80-20,Voleur,6,Voleur,6,0
KRAKEN,enrichi_80-20,le Voleur,9,Voleur,6,-3
KRAKEN,enrichi_80-20,Dentetre,8,Dentetre,8,0
KRAKEN,enrichi_80-20,Lecacur,7,Lecacur,7,0
KRAKEN,enrichi_80-20,Chevcus,7,Chevcus,7,0
KRAKEN,enrichi_80-20,Augustine,9,Augustine,9,0
KRAKEN,enrichi_80-20,JErles,6,JErles,6,0
KRAKEN,enrichi_80-20,Lecure,6,Lecure,6,0
KRAKEN,enrichi_80-20,Aurontun,8,Aurontun,8,0
KRAKEN,enrichi_80-20,Jappd-,6,Jappd-,6,0
KRAKEN,enrichi_80-20,Classe,6,Classe,6,0
KRAKEN,enrichi_80-20,Cher,4,Cher,4,0
KRAKEN,enrichi_80-20,Cornes,6,Cornes,6,0
KRAKEN,enrichi_80-20,Jene,4,Jene,4,0
KRAKEN,enrichi_80-20,Reurs,5,Reurs,5,0
KRAKEN,enrichi_80-20,Reirs,5,Reirs,5,0
KRAKEN,enrichi_80-20,Cambertd,8,Cambertd,8,0
KRAKEN,enrichi_80-20,Conndis p2s,11,Conndis,7,-4
KRAKEN,enrichi_80-20,Jésuites,9,Jésuites,9,0
KRAKEN,enrichi_80-20,Cammbetta,9,Cammbetta,9,0
KRAKEN,enrichi_80-20,Cambetta,8,Cambetta,8,0
KRAKEN,enrichi_80-20,Aujourdhui,10,Aujourdhui,10,0
KRAKEN,enrichi_80-20,Dureste,7,Dureste,7,0
KRAKEN,enrichi_80-20,Cammbettd,9,Cammbettd,9,0
KRAKEN,enrichi_80-20,Kacre,5,Kacre,5,0
KRAKEN,enrichi_80-20,Mne,3,Mne,3,0
KRAKEN,enrichi_80-20,Régime,7,Régime,7,0
KRAKEN,enrichi_80-20,Mldis,5,Mldis,5,0
KRAKEN,enrichi_80-20,Lelle,5,Lelle,5,0
KRAKEN,enrichi_80-20,Mdrge,5,Mdrge,5,0
KRAKEN,enrichi_80-20,Cst,3,Cst,3,0
KRAKEN,enrichi_80-20,Acjeuner,8,Acjeuner,8,0
KRAKEN,enrichi_80-20,Albert,6,Albert,6,0
KRAKEN,enrichi_80-20,Mtais,5,Mtais,5,0
KRAKEN,enrichi_80-20,Assis,5,Assis,5,0
KRAKEN,enrichi_80-20,Mdis,4,Mdis,4,0
KRAKEN,enrichi_80-20,M. Randal,9,Randal,6,-3
KRAKEN,enrichi_80-20,Monsieur,8,Monsieur,8,0
KRAKEN,enrichi_80-20,SOn Casque,10,Casque,6,-4
KRAKEN,enrichi_80-20,Jennesannees,12,Jennesannees,12,0
