OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
KRAKEN,initial,Msagit,6,Msagit,6,0
KRAKEN,initial,Bruxelles,9,Bruxelles,9,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Madame,6,Madame,6,0
KRAKEN,initial,Randal,6,Randal,6,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,Randal,6,Randal,6,0
KRAKEN,initial,Cornes,6,Cornes,6,0
KRAKEN,initial,Mne,3,Mne,3,0
KRAKEN,initial,Mdrge,5,Mdrge,5,0
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Merwcuse,8,Merwcuse,8,0
KRAKEN,initial,Morts,5,Morts,5,0
KRAKEN,initial,Gache,5,Gache,5,0
KRAKEN,initial,Malherbe,8,Malherbe,8,0
KRAKEN,initial,Mon oncle,9,oncle,5,-4
KRAKEN,initial,Iaissermnoifaire,16,Iaissermnoifaire,16,0
KRAKEN,initial,Gereux,6,Gereux,6,0
KRAKEN,initial,Cohtiendra,10,Cohtiendra,10,0
KRAKEN,initial,Cllesonne,9,Cllesonne,9,0
KRAKEN,initial,abbe Eamargelle,15,Eamargelle,10,-5
KRAKEN,initial,Morts,5,Morts,5,0
KRAKEN,initial,d Mnesure,9,Mnesure,7,-2
KRAKEN,initial,Memo-,5,Memo-,5,0
KRAKEN,initial,A Menteur!,10,Menteur,7,-3
KRAKEN,initial,Respect,7,Respect,7,0
KRAKEN,initial,Edouard,7,Edouard,7,0
KRAKEN,initial,Hme Montarcuil,14,Montarcuil,10,-4
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Gagnerdi,8,Gagnerdi,8,0
KRAKEN,initial,Margot,6,Margot,6,0
KRAKEN,initial,Belgiqne,8,Belgiqne,8,0
KRAKEN,initial,Valeurs,7,Valeurs,7,0
KRAKEN,initial,Yme Montareuil,14,Montareuil,10,-4
KRAKEN,initial,Duune,5,Duune,5,0
KRAKEN,initial,Mdis,4,Mdis,4,0
KRAKEN,initial,In,2,In,2,0
KRAKEN,initial,EstCe,5,EstCe,5,0
KRAKEN,initial,Pardonnemoi,11,Pardonnemoi,11,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Iricane,7,Iricane,7,0
KRAKEN,initial,auricr,6,auricr,6,0
KRAKEN,initial,Pcatete,7,Pcatete,7,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Mon Dien,8,Dien,4,-4
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,Banques,7,Banques,7,0
KRAKEN,initial,M. Randal,9,Randal,6,-3
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Estce,5,Estce,5,0
KRAKEN,initial,Mercure,7,Mercure,7,0
KRAKEN,initial,Sommies,7,Sommies,7,0
KRAKEN,initial,Monsieur,8,Monsieur,8,0
KRAKEN,initial,Lcher,5,Lcher,5,0
KRAKEN,initial,Pourld,6,Pourld,6,0
KRAKEN,initial,Acie Mlincure,13,Mlincure,8,-5
KRAKEN,initial,Londres,7,Londres,7,0
