OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
KRAKEN,quaero_fusioné,Darien,6,Darien,6,0
KRAKEN,quaero_fusioné,"Vrau
Darien",11,Darien,6,-5
KRAKEN,quaero_fusioné,Gratuite,8,Gratuite,8,0
KRAKEN,quaero_fusioné,Msagit,6,Msagit,6,0
KRAKEN,quaero_fusioné,Callicd,7,Callicd,7,0
KRAKEN,quaero_fusioné,Callicd,7,Callicd,7,0
KRAKEN,quaero_fusioné,Contacter,9,Contacter,9,0
KRAKEN,quaero_fusioné,STOCK,5,STOCK,5,0
KRAKEN,quaero_fusioné,Aancionne,9,Aancionne,9,0
KRAKEN,quaero_fusioné,Hoivige,7,Hoivige,7,0
KRAKEN,quaero_fusioné,Ilinislero,10,Ilinislero,10,0
KRAKEN,quaero_fusioné,I Yolume,8,Yolume,6,-2
KRAKEN,quaero_fusioné,Birihi,6,Birihi,6,0
KRAKEN,quaero_fusioné,Stoch,5,Stoch,5,0
KRAKEN,quaero_fusioné,Delgique,8,Delgique,8,0
KRAKEN,quaero_fusioné,Mon Dieu !,10,Dieu,4,-6
KRAKEN,quaero_fusioné,Monsieur,8,Monsieur,8,0
KRAKEN,quaero_fusioné,M. Kandal,9,Kandal,6,-3
KRAKEN,quaero_fusioné,Randal,6,Randal,6,0
KRAKEN,quaero_fusioné,Dinan,5,Dinan,5,0
KRAKEN,quaero_fusioné,Ostende,7,Ostende,7,0
KRAKEN,quaero_fusioné,Eni,3,Eni,3,0
KRAKEN,quaero_fusioné,Loujours,8,Loujours,8,0
KRAKEN,quaero_fusioné,M. Randal,9,Randal,6,-3
KRAKEN,quaero_fusioné,Monsieur,8,Monsieur,8,0
KRAKEN,quaero_fusioné,Monsieur,8,Monsieur,8,0
KRAKEN,quaero_fusioné,Sourire,7,Sourire,7,0
KRAKEN,quaero_fusioné,M. Randal,9,Randal,6,-3
KRAKEN,quaero_fusioné,Jugor,5,Jugor,5,0
KRAKEN,quaero_fusioné,Dieu,4,Dieu,4,0
KRAKEN,quaero_fusioné,M. Randal,9,Randal,6,-3
