OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
REF,enrichi,Républicain,11,Républicain,11,0
REF,enrichi,– Monsieur,10,Monsieur,8,-2
REF,enrichi,M. Randal,9,Randal,6,-3
REF,enrichi,Tiens,5,Tiens,5,0
REF,enrichi,Dinan,5,Dinan,5,0
REF,enrichi,M. Randal,9,Randal,6,-3
REF,enrichi,Monsieur,8,Monsieur,8,0
REF,enrichi,Monsieur,8,Monsieur,8,0
REF,enrichi,M. Randal,9,Randal,6,-3
REF,enrichi,Chloroforme,11,Chloroforme,11,0
REF,enrichi,M. Randal,9,Randal,6,-3
REF,enrichi,Impossible,10,Impossible,10,0
REF,enrichi,Randal,6,Randal,6,0
REF,enrichi,Messieurs,9,Messieurs,9,0
REF,enrichi,Voleur-là ;,11,Voleur,6,-5
REF,enrichi,Voleur,6,Voleur,6,0
REF,enrichi,Mme Dubourg,11,Dubourg,7,-4
REF,enrichi,Augustine,9,Augustine,9,0
REF,enrichi,Cher,4,Cher,4,0
REF,enrichi,Candeur !,9,Candeur,7,-2
REF,enrichi,Reims,5,Reims,5,0
REF,enrichi,Jésuites,8,Jésuites,8,0
REF,enrichi,Gambetta,8,Gambetta,8,0
REF,enrichi,État,4,État,4,0
REF,enrichi,Louis-Philippe,14,Louis-Philippe,14,0
REF,enrichi,Code !,6,Code,4,-2
REF,enrichi,Code !,6,Code,4,-2
REF,enrichi,Code,4,Code,4,0
REF,enrichi,Code,4,Code,4,0
REF,enrichi,Société,7,Société,7,0
REF,enrichi,Dubourg,7,Dubourg,7,0
REF,enrichi,Georges,7,Georges,7,0
REF,enrichi,M. Dubourg,10,Dubourg,7,-3
REF,enrichi,Reste là !,10,Reste,5,-5
REF,enrichi,M. Randal,9,Randal,6,-3
REF,enrichi,Monsieur,8,Monsieur,8,0
REF,enrichi,M. Dubourg,10,Dubourg,7,-3
REF,enrichi,Charlotte,9,Charlotte,9,0
REF,enrichi,Est,3,Est,3,0
REF,enrichi,Morgues,7,Morgues,7,0
REF,enrichi,Cicéron,7,Cicéron,7,0
REF,enrichi,Catilina,8,Catilina,8,0
REF,enrichi,César,5,César,5,0
REF,enrichi,Barbares,8,Barbares,8,0
REF,enrichi,Raphaël,7,Raphaël,7,0
REF,enrichi,Vatican,7,Vatican,7,0
REF,enrichi,Michel-Ange,11,Michel,6,-5
REF,enrichi,Malherbe,8,Malherbe,8,0
REF,enrichi,Bossuet,7,Bossuet,7,0
REF,enrichi,Emerson,7,Emerson,7,0
REF,enrichi,Messieurs,9,Messieurs,9,0
REF,enrichi,Mon ami,7,Mon,3,-4
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,M. Issacar,10,Issacar,7,-3
REF,enrichi,M. Issacar,10,Issacar,7,-3
REF,enrichi,M. ,3,M.,2,-1
REF,enrichi,Israélite,9,Israélite,9,0
REF,enrichi,Collez,6,Collez,6,0
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,Codes,5,Codes,5,0
REF,enrichi,Isaïe,5,Isaïe,5,0
REF,enrichi,Riche !,7,Riche,5,-2
REF,enrichi,Parbleu !,9,Parbleu,7,-2
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,Issacar,7,Issacar,7,0
REF,enrichi,Charlotte,9,Charlotte,9,0
REF,enrichi,Charlotte,9,Charlotte,9,0
REF,enrichi,Charlotte,9,Charlotte,9,0
REF,enrichi,Est,3,Est,3,0
REF,enrichi,Mon oncle,9,oncle,5,-4
REF,enrichi,Luxure,6,Luxure,6,0
REF,enrichi,abbé Lamargelle,15,Lamargelle,10,-5
REF,enrichi,Menteur !,9,Menteur,7,-2
REF,enrichi,Georges,7,Georges,7,0
