OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
REF,enrichi_80-20,Républicain,11,Républicain,11,0
REF,enrichi_80-20,– Monsieur,10,Monsieur,8,-2
REF,enrichi_80-20,M. Randal,9,Randal,6,-3
REF,enrichi_80-20,Tiens,5,Tiens,5,0
REF,enrichi_80-20,M. Randal,9,Randal,6,-3
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,M. Randal,9,Randal,6,-3
REF,enrichi_80-20,M. Randal,9,Randal,6,-3
REF,enrichi_80-20,Lequel,6,Lequel,6,0
REF,enrichi_80-20,Randal,6,Randal,6,0
REF,enrichi_80-20,Messieurs,9,Messieurs,9,0
REF,enrichi_80-20,Voleur-là ;,11,Voleur,6,-5
REF,enrichi_80-20,Voleur,6,Voleur,6,0
REF,enrichi_80-20,Augustine,9,Augustine,9,0
REF,enrichi_80-20,Cher,4,Cher,4,0
REF,enrichi_80-20,Candeur !,9,Candeur,7,-2
REF,enrichi_80-20,Mon père ?,10,père,4,-6
REF,enrichi_80-20,Reims,5,Reims,5,0
REF,enrichi_80-20,Jésuites,8,Jésuites,8,0
REF,enrichi_80-20,Jésuites,8,Jésuites,8,0
REF,enrichi_80-20,Gambetta,8,Gambetta,8,0
REF,enrichi_80-20,M. Dubourg,10,Dubourg,7,-3
REF,enrichi_80-20,Georges,7,Georges,7,0
REF,enrichi_80-20,Albert,6,Albert,6,0
REF,enrichi_80-20,M. Dubourg,10,Dubourg,7,-3
REF,enrichi_80-20,M. Dubourg,10,Dubourg,7,-3
REF,enrichi_80-20,Reste là !,10,Reste,5,-5
REF,enrichi_80-20,M. Randal,9,Randal,6,-3
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Morgues,7,Morgues,7,0
REF,enrichi_80-20,César,5,César,5,0
REF,enrichi_80-20,Homère,6,Homère,6,0
REF,enrichi_80-20,Raphaël,7,Raphaël,7,0
REF,enrichi_80-20,Michel-Ange,11,Michel,6,-5
REF,enrichi_80-20,Malherbe,8,Malherbe,8,0
REF,enrichi_80-20,Molière,7,Molière,7,0
REF,enrichi_80-20,Emerson,7,Emerson,7,0
REF,enrichi_80-20,Messieurs,9,Messieurs,9,0
REF,enrichi_80-20,Claudite,8,Claudite,8,0
REF,enrichi_80-20,Mon oncle,9,oncle,5,-4
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,M. Issacar,10,Issacar,7,-3
REF,enrichi_80-20,Israélite,9,Israélite,9,0
REF,enrichi_80-20,M. Issacar,10,Issacar,7,-3
REF,enrichi_80-20,M. ,3,M.,2,-1
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Israélite,9,Israélite,9,0
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Molochisme,10,Molochisme,10,0
REF,enrichi_80-20,Isaïe,5,Isaïe,5,0
REF,enrichi_80-20,Riche !,7,Riche,5,-2
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Mon oncle,9,oncle,5,-4
REF,enrichi_80-20,Luxure,6,Luxure,6,0
REF,enrichi_80-20,Avarice,7,Avarice,7,0
REF,enrichi_80-20,abbé Lamargelle,15,Lamargelle,10,-5
REF,enrichi_80-20,Menteur !,9,Menteur,7,-2
REF,enrichi_80-20,Voleur !,8,Voleur,6,-2
REF,enrichi_80-20,Georges,7,Georges,7,0
REF,enrichi_80-20,Mets-toi,8,Mets,4,-4
REF,enrichi_80-20,Mon oncle,9,oncle,5,-4
REF,enrichi_80-20,Mon oncle,9,oncle,5,-4
REF,enrichi_80-20,Respect,7,Respect,7,0
REF,enrichi_80-20,Respect,7,Respect,7,0
REF,enrichi_80-20,Montareuil,10,Montareuil,10,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Mademoiselle,12,Mademoiselle,12,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Georges,7,Georges,7,0
REF,enrichi_80-20,Issacar,7,Issacar,7,0
REF,enrichi_80-20,Marguerite,10,Marguerite,10,0
REF,enrichi_80-20,Monsieur,8,Monsieur,8,0
REF,enrichi_80-20,Margot,6,Margot,6,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Montareuil,10,Montareuil,10,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Montmartre,10,Montmartre,10,0
REF,enrichi_80-20,Crime,5,Crime,5,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Me,2,Me,2,0
REF,enrichi_80-20,Calmez,6,Calmez,6,0
REF,enrichi_80-20,Mme Montareuil,14,Montareuil,10,-4
REF,enrichi_80-20,Mon oncle,9,oncle,5,-4
REF,enrichi_80-20,Sûreté,6,Sûreté,6,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
REF,enrichi_80-20,Charlotte,9,Charlotte,9,0
