OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
REF,quaero_fusioné,Républicain,11,Républicain,11,0
REF,quaero_fusioné,– Monsieur,10,Monsieur,8,-2
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Tiens,5,Tiens,5,0
REF,quaero_fusioné,Dinan,5,Dinan,5,0
REF,quaero_fusioné,Ostende,7,Ostende,7,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Impossible,10,Impossible,10,0
REF,quaero_fusioné,Randal,6,Randal,6,0
REF,quaero_fusioné,Messieurs,9,Messieurs,9,0
REF,quaero_fusioné,Voleur-là ;,11,Voleur,6,-5
REF,quaero_fusioné,Voleur,6,Voleur,6,0
REF,quaero_fusioné,Augustine,9,Augustine,9,0
REF,quaero_fusioné,Cher,4,Cher,4,0
REF,quaero_fusioné,Candeur !,9,Candeur,7,-2
REF,quaero_fusioné,Reims,5,Reims,5,0
REF,quaero_fusioné,Phanor,6,Phanor,6,0
REF,quaero_fusioné,Gambetta,8,Gambetta,8,0
REF,quaero_fusioné,Louis-Philippe,14,Louis-Philippe,14,0
REF,quaero_fusioné,Société,7,Société,7,0
REF,quaero_fusioné,Reste là !,10,Reste,5,-5
REF,quaero_fusioné,Eh !,4,Eh,2,-2
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,VASE,4,VASE,4,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Est,3,Est,3,0
REF,quaero_fusioné,Morgues,7,Morgues,7,0
REF,quaero_fusioné,Cicéron,7,Cicéron,7,0
REF,quaero_fusioné,Catilina,8,Catilina,8,0
REF,quaero_fusioné,César,5,César,5,0
REF,quaero_fusioné,Empires,7,Empires,7,0
REF,quaero_fusioné,Raphaël,7,Raphaël,7,0
REF,quaero_fusioné,Vatican,7,Vatican,7,0
REF,quaero_fusioné,Michel-Ange,11,Michel,6,-5
REF,quaero_fusioné,Malherbe,8,Malherbe,8,0
REF,quaero_fusioné,Emerson,7,Emerson,7,0
REF,quaero_fusioné,Bonaparte,9,Bonaparte,9,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,M. Issacar,10,Issacar,7,-3
REF,quaero_fusioné,M. Issacar,10,Issacar,7,-3
REF,quaero_fusioné,M. ,3,M.,2,-1
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Israélite,9,Israélite,9,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Isaïe,5,Isaïe,5,0
REF,quaero_fusioné,Riche !,7,Riche,5,-2
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,la Propriété,12,Propriété,9,-3
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Est,3,Est,3,0
REF,quaero_fusioné,Luxure,6,Luxure,6,0
REF,quaero_fusioné,Menteur !,9,Menteur,7,-2
REF,quaero_fusioné,Voleur !,8,Voleur,6,-2
REF,quaero_fusioné,Bourse,6,Bourse,6,0
REF,quaero_fusioné,Mon oncle,9,oncle,5,-4
REF,quaero_fusioné,Mon oncle,9,oncle,5,-4
REF,quaero_fusioné,Respect,7,Respect,7,0
REF,quaero_fusioné,Respect,7,Respect,7,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Banque,6,Banque,6,0
REF,quaero_fusioné,Georges,7,Georges,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Marguerite,10,Marguerite,10,0
REF,quaero_fusioné,Thibet,6,Thibet,6,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Eh !,4,Eh,2,-2
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Belgique,8,Belgique,8,0
REF,quaero_fusioné,Mme Montareuil,14,Montareuil,10,-4
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Montareuil,10,Montareuil,10,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Mme Montareuil,14,Montareuil,10,-4
REF,quaero_fusioné,Montmartre,10,Montmartre,10,0
REF,quaero_fusioné,la Seine,8,Seine,5,-3
REF,quaero_fusioné,Est,3,Est,3,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Eh !,4,Eh,2,-2
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Enfant ,7,Enfant,6,-1
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Eh !,4,Eh,2,-2
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Eh !,4,Eh,2,-2
REF,quaero_fusioné,Charlotte,9,Charlotte,9,0
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Société,7,Société,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Golgotha,8,Golgotha,8,0
REF,quaero_fusioné,Jésus,5,Jésus,5,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,l'Individu,10,Individu,8,-2
REF,quaero_fusioné,Numance,7,Numance,7,0
REF,quaero_fusioné,Carlyle,7,Carlyle,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,– Personne,10,Personne,8,-2
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Jérémie,7,Jérémie,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Société,7,Société,7,0
REF,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Belges,6,Belges,6,0
REF,quaero_fusioné,Suisse,6,Suisse,6,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Bourse,6,Bourse,6,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,– Monsieur,10,Monsieur,8,-2
REF,quaero_fusioné,M. Issacar,10,Issacar,7,-3
REF,quaero_fusioné,M. Issacar,10,Issacar,7,-3
REF,quaero_fusioné,– Monsieur,10,Monsieur,8,-2
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Mon Dieu !,10,Dieu,4,-6
REF,quaero_fusioné,Caucase,7,Caucase,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Monsieur,8,Monsieur,8,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,M. Randal,9,Randal,6,-3
REF,quaero_fusioné,Issacar,7,Issacar,7,0
REF,quaero_fusioné,Issacar,7,Issacar,7,0
