OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
TESSERACT,enrichi,Georges,7,Georges,7,0
TESSERACT,enrichi,Gallica,7,Gallica,7,0
TESSERACT,enrichi,Gallica,7,Gallica,7,0
TESSERACT,enrichi,Suède,5,Suède,5,0
TESSERACT,enrichi,Noïvège,7,Noïvège,7,0
TESSERACT,enrichi,Norvège,7,Norvège,7,0
TESSERACT,enrichi,Biribi,6,Biribi,6,0
TESSERACT,enrichi,Malhonnête,10,Malhonnête,10,0
TESSERACT,enrichi,Les Voleurs,11,Voleurs,7,-4
TESSERACT,enrichi,© Case,6,Case,4,-2
TESSERACT,enrichi,Républicain,11,Républicain,11,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,M. Randal,9,Randal,6,-3
TESSERACT,enrichi,Madaine,7,Madaine,7,0
TESSERACT,enrichi,Tiens,5,Tiens,5,0
TESSERACT,enrichi,Georges,7,Georges,7,0
TESSERACT,enrichi,Dinan,5,Dinan,5,0
TESSERACT,enrichi,Savez,5,Savez,5,0
TESSERACT,enrichi,M. Randal,9,Randal,6,-3
TESSERACT,enrichi,Sûreté,6,Sûreté,6,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,M. Randal,9,Randal,6,-3
TESSERACT,enrichi,Dieu,4,Dieu,4,0
TESSERACT,enrichi,Mystère,7,Mystère,7,0
TESSERACT,enrichi,M. Randal,9,Randal,6,-3
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Casse-,6,Casse-,6,0
TESSERACT,enrichi,Randal,6,Randal,6,0
TESSERACT,enrichi,Messieurs,9,Messieurs,9,0
TESSERACT,enrichi,Voleur,6,Voleur,6,0
TESSERACT,enrichi,Voleur,6,Voleur,6,0
TESSERACT,enrichi,le Voleur,9,Voleur,6,-3
TESSERACT,enrichi,Christ,6,Christ,6,0
TESSERACT,enrichi,Mme Dubourg,11,Dubourg,7,-4
TESSERACT,enrichi,Augustine,9,Augustine,9,0
TESSERACT,enrichi,"Réfléchissez-y.

",17,Réfléchissez,12,-5
TESSERACT,enrichi,Cher,4,Cher,4,0
TESSERACT,enrichi,Reims,5,Reims,5,0
TESSERACT,enrichi,Phanor,6,Phanor,6,0
TESSERACT,enrichi,Gambetta,8,Gambetta,8,0
TESSERACT,enrichi,Jésuites,8,Jésuites,8,0
TESSERACT,enrichi,Gambetta,8,Gambetta,8,0
TESSERACT,enrichi,Etat,4,Etat,4,0
TESSERACT,enrichi,Louis-Philippe,14,Louis-Philippe,14,0
TESSERACT,enrichi,Jine,4,Jine,4,0
TESSERACT,enrichi,Code!,5,Code,4,-1
TESSERACT,enrichi,Code !,6,Code,4,-2
TESSERACT,enrichi,Code,4,Code,4,0
TESSERACT,enrichi,Code,4,Code,4,0
TESSERACT,enrichi,Société,7,Société,7,0
TESSERACT,enrichi,Dubourg,7,Dubourg,7,0
TESSERACT,enrichi,M. Dubourg,10,Dubourg,7,-3
TESSERACT,enrichi,Georges,7,Georges,7,0
TESSERACT,enrichi,M. Dubourg,10,Dubourg,7,-3
TESSERACT,enrichi,M. Dubourg,10,Dubourg,7,-3
TESSERACT,enrichi,M. Dubourg,10,Dubourg,7,-3
TESSERACT,enrichi,Dubourg,7,Dubourg,7,0
TESSERACT,enrichi,M. Randal,9,Randal,6,-3
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,M. Dubourg,10,Dubourg,7,-3
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Est,3,Est,3,0
TESSERACT,enrichi,Morgues,7,Morgues,7,0
TESSERACT,enrichi,DE Late,7,Late,4,-3
TESSERACT,enrichi,MENNE,5,MENNE,5,0
TESSERACT,enrichi,Cicéron,7,Cicéron,7,0
TESSERACT,enrichi,Catilina,8,Catilina,8,0
TESSERACT,enrichi,César,5,César,5,0
TESSERACT,enrichi,Barbares,8,Barbares,8,0
TESSERACT,enrichi,Empires,7,Empires,7,0
TESSERACT,enrichi,Raphaël,7,Raphaël,7,0
TESSERACT,enrichi,Vatican,7,Vatican,7,0
TESSERACT,enrichi,Michel-Ange,11,Michel,6,-5
TESSERACT,enrichi,Malherbe,8,Malherbe,8,0
TESSERACT,enrichi,Bossuet,7,Bossuet,7,0
TESSERACT,enrichi,Emerson,7,Emerson,7,0
TESSERACT,enrichi,Messieurs,9,Messieurs,9,0
TESSERACT,enrichi,M. Issacar,10,Issacar,7,-3
TESSERACT,enrichi,Israélite,9,Israélite,9,0
TESSERACT,enrichi,M. Issacar,10,Issacar,7,-3
TESSERACT,enrichi,"Israé-

hte",11,Israé-,6,-5
TESSERACT,enrichi,Issacar,7,Issacar,7,0
TESSERACT,enrichi,Issacar,7,Issacar,7,0
TESSERACT,enrichi,Molochisme,10,Molochisme,10,0
TESSERACT,enrichi,Érerÿ,5,Érerÿ,5,0
TESSERACT,enrichi,Isaïe,5,Isaïe,5,0
TESSERACT,enrichi,Riche !,7,Riche,5,-2
TESSERACT,enrichi,Parbleu !,9,Parbleu,7,-2
TESSERACT,enrichi,Obligatoire !,13,Obligatoire,11,-2
TESSERACT,enrichi,Issacar,7,Issacar,7,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Est,3,Est,3,0
TESSERACT,enrichi,JAvarice,8,JAvarice,8,0
TESSERACT,enrichi,Etats-Unis,10,Etats-Unis,10,0
TESSERACT,enrichi,Société,7,Société,7,0
TESSERACT,enrichi,abbé Lamargelle,15,Lamargelle,10,-5
TESSERACT,enrichi,Etat,4,Etat,4,0
TESSERACT,enrichi,Menteur!,8,Menteur,7,-1
TESSERACT,enrichi,Georges,7,Georges,7,0
TESSERACT,enrichi,Bourse,6,Bourse,6,0
TESSERACT,enrichi,Banque,6,Banque,6,0
TESSERACT,enrichi,Respect,7,Respect,7,0
TESSERACT,enrichi,Respect,7,Respect,7,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,"M""° Montareuil",14,Montareuil,10,-4
TESSERACT,enrichi,Edouard,7,Edouard,7,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi,Mme Montareuil,14,Montareuil,10,-4
TESSERACT,enrichi,Georges,7,Georges,7,0
TESSERACT,enrichi,Issacar,7,Issacar,7,0
