OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
TESSERACT,enrichi_80-20,Gallica,7,Gallica,7,0
TESSERACT,enrichi_80-20,Norvège,7,Norvège,7,0
TESSERACT,enrichi_80-20,MÈME,4,MÈME,4,0
TESSERACT,enrichi_80-20,Malhonnête,10,Malhonnête,10,0
TESSERACT,enrichi_80-20,© Case,6,Case,4,-2
TESSERACT,enrichi_80-20,Républicain,11,Républicain,11,0
TESSERACT,enrichi_80-20,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi_80-20,M. Randal,9,Randal,6,-3
TESSERACT,enrichi_80-20,Madaine,7,Madaine,7,0
TESSERACT,enrichi_80-20,Georges,7,Georges,7,0
TESSERACT,enrichi_80-20,"Pa

LUS",7,LUS,3,-4
TESSERACT,enrichi_80-20,M. Randal,9,Randal,6,-3
TESSERACT,enrichi_80-20,Sûreté,6,Sûreté,6,0
TESSERACT,enrichi_80-20,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi_80-20,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi_80-20,M. Randal,9,Randal,6,-3
TESSERACT,enrichi_80-20,Dieu,4,Dieu,4,0
TESSERACT,enrichi_80-20,Mystère,7,Mystère,7,0
TESSERACT,enrichi_80-20,M. Randal,9,Randal,6,-3
TESSERACT,enrichi_80-20,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi_80-20,M.,2,M.,2,0
TESSERACT,enrichi_80-20,Randal,6,Randal,6,0
TESSERACT,enrichi_80-20,Messieurs,9,Messieurs,9,0
TESSERACT,enrichi_80-20,Voleur,6,Voleur,6,0
TESSERACT,enrichi_80-20,Voleur,6,Voleur,6,0
TESSERACT,enrichi_80-20,le Voleur,9,Voleur,6,-3
TESSERACT,enrichi_80-20,Londres,7,Londres,7,0
TESSERACT,enrichi_80-20,Augustine,9,Augustine,9,0
TESSERACT,enrichi_80-20,Pont,4,Pont,4,0
TESSERACT,enrichi_80-20,Cher,4,Cher,4,0
TESSERACT,enrichi_80-20,Jene,4,Jene,4,0
TESSERACT,enrichi_80-20,Jésuites,8,Jésuites,8,0
TESSERACT,enrichi_80-20,auguste,7,auguste,7,0
TESSERACT,enrichi_80-20,Gambetta,8,Gambetta,8,0
TESSERACT,enrichi_80-20,Georges,7,Georges,7,0
TESSERACT,enrichi_80-20,Albert,6,Albert,6,0
TESSERACT,enrichi_80-20,M. Randal,9,Randal,6,-3
TESSERACT,enrichi_80-20,Monsieur,8,Monsieur,8,0
TESSERACT,enrichi_80-20,"FROFOND

C'",11,FROFOND,7,-4
TESSERACT,enrichi_80-20,Charlotte,9,Charlotte,9,0
TESSERACT,enrichi_80-20,Integer,7,Integer,7,0
TESSERACT,enrichi_80-20,Morgues,7,Morgues,7,0
TESSERACT,enrichi_80-20,Pimprimerie,11,Pimprimerie,11,0
TESSERACT,enrichi_80-20,DE Late,7,"Late

",6,-1
TESSERACT,enrichi_80-20,MENNE,5,MENNE,5,0
TESSERACT,enrichi_80-20,César,5,César,5,0
TESSERACT,enrichi_80-20,Barbares,8,Barbares,8,0
TESSERACT,enrichi_80-20,Homère,6,Homère,6,0
TESSERACT,enrichi_80-20,Raphaël,7,Raphaël,7,0
TESSERACT,enrichi_80-20,les Loges,9,Loges,5,-4
TESSERACT,enrichi_80-20,Michel-Ange,11,Michel,6,-5
TESSERACT,enrichi_80-20,Malherbe,8,Malherbe,8,0
TESSERACT,enrichi_80-20,Molière,7,Molière,7,0
TESSERACT,enrichi_80-20,Plumages !,10,Plumages,8,-2
TESSERACT,enrichi_80-20,Emerson,7,Emerson,7,0
TESSERACT,enrichi_80-20,Messieurs,9,Messieurs,9,0
TESSERACT,enrichi_80-20,M. Issacar,10,Issacar,7,-3
TESSERACT,enrichi_80-20,Israélite,9,Israélite,9,0
TESSERACT,enrichi_80-20,M. Issacar,10,Issacar,7,-3
TESSERACT,enrichi_80-20,"Israé-

hte",11,Israé-,6,-5
TESSERACT,enrichi_80-20,Issacar,7,Issacar,7,0
