OCR,Modèle,Texte_spacy,Longueur_spacy,Texte_modele,Longueur_modele,Différence
TESSERACT,quaero_fusioné,Gallica,7,Gallica,7,0
TESSERACT,quaero_fusioné,Gallica,7,Gallica,7,0
TESSERACT,quaero_fusioné,Noïvège,7,Noïvège,7,0
TESSERACT,quaero_fusioné,Norvège,7,Norvège,7,0
TESSERACT,quaero_fusioné,Biribi,6,Biribi,6,0
TESSERACT,quaero_fusioné,Malhonnête,10,Malhonnête,10,0
TESSERACT,quaero_fusioné,Les Voleurs,11,Voleurs,7,-4
TESSERACT,quaero_fusioné,Républicain,11,Républicain,11,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,M. Randal,9,Randal,6,-3
TESSERACT,quaero_fusioné,Madaine,7,Madaine,7,0
TESSERACT,quaero_fusioné,Tiens,5,Tiens,5,0
TESSERACT,quaero_fusioné,Dinan,5,Dinan,5,0
TESSERACT,quaero_fusioné,Ostende,7,Ostende,7,0
TESSERACT,quaero_fusioné,M. Randal,9,Randal,6,-3
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,M. Randal,9,Randal,6,-3
TESSERACT,quaero_fusioné,Dieu,4,Dieu,4,0
TESSERACT,quaero_fusioné,Mystère,7,Mystère,7,0
TESSERACT,quaero_fusioné,M. Randal,9,Randal,6,-3
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Casse-,6,Casse-,6,0
TESSERACT,quaero_fusioné,M.,2,M.,2,0
TESSERACT,quaero_fusioné,Randal,6,Randal,6,0
TESSERACT,quaero_fusioné,Messieurs,9,Messieurs,9,0
TESSERACT,quaero_fusioné,Voleur,6,Voleur,6,0
TESSERACT,quaero_fusioné,Voleur,6,Voleur,6,0
TESSERACT,quaero_fusioné,le Voleur,9,Voleur,6,-3
TESSERACT,quaero_fusioné,Mme Dubourg,11,Dubourg,7,-4
TESSERACT,quaero_fusioné,Augustine,9,Augustine,9,0
TESSERACT,quaero_fusioné,"Réfléchissez-y.

",17,Réfléchissez,12,-5
TESSERACT,quaero_fusioné,Cher,4,Cher,4,0
TESSERACT,quaero_fusioné,Jene,4,Jene,4,0
TESSERACT,quaero_fusioné,Reims,5,Reims,5,0
TESSERACT,quaero_fusioné,Phanor,6,Phanor,6,0
TESSERACT,quaero_fusioné,Jésuites,8,Jésuites,8,0
TESSERACT,quaero_fusioné,Etat,4,Etat,4,0
TESSERACT,quaero_fusioné,Gambetta,8,Gambetta,8,0
TESSERACT,quaero_fusioné,Louis-Philippe,14,Louis-Philippe,14,0
TESSERACT,quaero_fusioné,Jine,4,Jine,4,0
TESSERACT,quaero_fusioné,Société,7,Société,7,0
TESSERACT,quaero_fusioné,Georges,7,Georges,7,0
TESSERACT,quaero_fusioné,M. Randal,9,Randal,6,-3
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,M. Dubourg,10,Dubourg,7,-3
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,Morgues,7,Morgues,7,0
TESSERACT,quaero_fusioné,DE Late,7,Late,4,-3
TESSERACT,quaero_fusioné,Cicéron,7,Cicéron,7,0
TESSERACT,quaero_fusioné,Catilina,8,Catilina,8,0
TESSERACT,quaero_fusioné,César,5,César,5,0
TESSERACT,quaero_fusioné,Barbares,8,Barbares,8,0
TESSERACT,quaero_fusioné,Empires,7,Empires,7,0
TESSERACT,quaero_fusioné,Raphaël,7,Raphaël,7,0
TESSERACT,quaero_fusioné,Vatican,7,Vatican,7,0
TESSERACT,quaero_fusioné,Michel-Ange,11,Michel,6,-5
TESSERACT,quaero_fusioné,Malherbe,8,Malherbe,8,0
TESSERACT,quaero_fusioné,Bossuet,7,Bossuet,7,0
TESSERACT,quaero_fusioné,Emerson,7,Emerson,7,0
TESSERACT,quaero_fusioné,Messieurs,9,Messieurs,9,0
TESSERACT,quaero_fusioné,"Tara
",5,Tara,4,-1
TESSERACT,quaero_fusioné,Bonaparte,9,Bonaparte,9,0
TESSERACT,quaero_fusioné,M. Issacar,10,Issacar,7,-3
TESSERACT,quaero_fusioné,Israélite,9,Israélite,9,0
TESSERACT,quaero_fusioné,M. Issacar,10,Issacar,7,-3
TESSERACT,quaero_fusioné,"Israé-

hte",11,Israé-,6,-5
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Érerÿ,5,Érerÿ,5,0
TESSERACT,quaero_fusioné,Isaïe,5,Isaïe,5,0
TESSERACT,quaero_fusioné,Riche !,7,Riche,5,-2
TESSERACT,quaero_fusioné,Parbleu !,9,Parbleu,7,-2
TESSERACT,quaero_fusioné,Obligatoire !,13,Obligatoire,11,-2
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,la Propriété,12,Propriété,9,-3
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,JAvarice,8,JAvarice,8,0
TESSERACT,quaero_fusioné,Etat,4,Etat,4,0
TESSERACT,quaero_fusioné,Menteur!,8,Menteur,7,-1
TESSERACT,quaero_fusioné,Georges,7,Georges,7,0
TESSERACT,quaero_fusioné,Bourse,6,Bourse,6,0
TESSERACT,quaero_fusioné,Respect,7,Respect,7,0
TESSERACT,quaero_fusioné,Respect,7,Respect,7,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Ja,2,Ja,2,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Banque,6,Banque,6,0
TESSERACT,quaero_fusioné,Mme Montareuil,14,Montareuil,10,-4
TESSERACT,quaero_fusioné,Georges,7,Georges,7,0
TESSERACT,quaero_fusioné,Issacar,7,Issacar,7,0
TESSERACT,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
TESSERACT,quaero_fusioné,Marguerite,10,Marguerite,10,0
TESSERACT,quaero_fusioné,Jhibet,6,Jhibet,6,0
TESSERACT,quaero_fusioné,Monsieur,8,Monsieur,8,0
TESSERACT,quaero_fusioné,Commeauthéâtre,14,Commeauthéâtre,14,0
TESSERACT,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
TESSERACT,quaero_fusioné,Belgique,8,Belgique,8,0
TESSERACT,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
TESSERACT,quaero_fusioné,Montareuil,10,Montareuil,10,0
TESSERACT,quaero_fusioné,Digestion,9,Digestion,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Edouard,7,Edouard,7,0
TESSERACT,quaero_fusioné,Me Montareuil,13,Montareuil,10,-3
TESSERACT,quaero_fusioné,Montmartre,10,Montmartre,10,0
TESSERACT,quaero_fusioné,la Seine,8,Seine,5,-3
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,Edouard,7,Edouard,7,0
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,RS RRER,7,RRER,4,-3
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Nil',4,Nil',4,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Est,3,Est,3,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
TESSERACT,quaero_fusioné,Enfant!,7,Enfant,6,-1
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Jagisse,7,Jagisse,7,0
TESSERACT,quaero_fusioné,Charlotte,9,Charlotte,9,0
TESSERACT,quaero_fusioné,Bruxelles,9,Bruxelles,9,0
TESSERACT,quaero_fusioné,Mi,2,Mi,2,0
