Modèle,OCR,Moyenne différence,Écart-type,Nb entités
initial,REF,-3.3013698630136985,1.3871712989877147,391
initial,TESSERACT,-3.4603174603174605,1.4577989753222416,364
enrichi_80-20,REF,-3.473170731707317,1.4558505057065485,1094
initial,KRAKEN,-3.4489795918367347,1.335395762246185,339
enrichi_80-20,KRAKEN,-3.654275092936803,1.4308863943943007,1707
enrichi,TESSERACT,-3.18957345971564,1.2591684281114188,1337
enrichi,KRAKEN,-3.54434250764526,1.3665184653877858,2133
quaero_fusioné,KRAKEN,-3.5016722408026757,1.3716759360313933,1888
enrichi_80-20,TESSERACT,-3.264044943820225,1.3333928043565426,1076
quaero_fusioné,TESSERACT,-2.9574468085106385,1.1967411735129265,1158
enrichi,REF,-3.168,1.367131068807189,1285
quaero_fusioné,REF,-2.9789473684210526,1.2578991262669565,1057
