OCR,Modèle,VP,FP,FN,Précision,Rappel,F1-score
REF,initial,256,351,3561,0.4217,0.0671,0.1157
TESSERACT,initial,250,312,5297,0.4448,0.0451,0.0818
KRAKEN,initial,172,373,14871,0.3156,0.0114,0.0221
REF,enrichi,611,1628,3206,0.2729,0.1601,0.2018
TESSERACT,enrichi,663,1579,4884,0.2957,0.1195,0.1702
KRAKEN,enrichi,781,2756,14262,0.2208,0.0519,0.0841
REF,quaero_fusioné,503,1400,3314,0.2643,0.1318,0.1759
TESSERACT,quaero_fusioné,548,1442,4999,0.2754,0.0988,0.1454
KRAKEN,quaero_fusioné,619,2560,14424,0.1947,0.0411,0.0679
REF,enrichi_80-20,544,2047,3273,0.21,0.1425,0.1698
TESSERACT,enrichi_80-20,541,1961,5006,0.2162,0.0975,0.1344
KRAKEN,enrichi_80-20,617,2768,14426,0.1823,0.041,0.067
