OCR,Modèle,VP,FP,FN,Précision,Rappel,F1-score,Nb_ENT_model,Nb_ENT_spacy
KRAKEN,enrichi,950,2587,14093,0.269,0.063,0.102,3537,15043
KRAKEN,enrichi_80-20,762,2623,14281,0.225,0.051,0.083,3385,15043
KRAKEN,initial,209,336,14834,0.383,0.014,0.027,545,15043
KRAKEN,quaero_fusioné,791,2388,14252,0.249,0.053,0.087,3179,15043
REF,enrichi,729,1510,3088,0.326,0.191,0.241,2239,3817
REF,enrichi_80-20,634,1957,3183,0.245,0.166,0.198,2591,3817
REF,initial,304,303,3513,0.501,0.08,0.137,607,3817
REF,quaero_fusioné,626,1277,3191,0.329,0.164,0.219,1903,3817
TESSERACT,enrichi,774,1468,4773,0.345,0.14,0.199,2242,5547
TESSERACT,enrichi_80-20,637,1865,4910,0.255,0.115,0.158,2502,5547
TESSERACT,initial,287,275,5260,0.511,0.052,0.094,562,5547
TESSERACT,quaero_fusioné,646,1344,4901,0.325,0.116,0.171,1990,5547
